record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title,abstract,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,publication_types,mesh_terms,abstract_retrieval_status,abstract_source,title_abstract_screen_decision,title_abstract_exclusion_reason,title_abstract_confidence,human_participants_flag,acupuncture_like_intervention_flag,functional_brain_imaging_flag,original_empirical_data_flag,sham_or_placebo_flag,likely_coordinate_candidate_flag,needs_full_text_review,reviewer_notes
DUP_01649,Embase; PubMed,Somatotopic representation of acupoints in human primary somatosensory cortex: an FMRI study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Nakagoshi A, Fukunaga M, Umeda M, Mori Y, Higuchi T, Tanaka C.",2005,Magn Reson Med Sci,10.2463/mrms.4.187,16543703.0,DUP_01649,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,somatotopic representation of acupoints in human primary somatosensory cortex an fmri study,,Somatotopic representation of acupoints in human primary somatosensory cortex: an FMRI study.,Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,2005,10.2463/mrms.4.187,"Journal Article; Research Support, Non-U.S. Gov't","Acupuncture Points; Brain Mapping; Echo-Planar Imaging; Electric Stimulation; Evoked Potentials, Somatosensory; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Reference Values; Somatosensory Cortex",no_abstract_in_pubmed,pubmed,include_for_full_text,,low,yes,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01732,PubMed,The application of fMRI to basic experiments in acupuncture. The effects of stimulus points and content on cerebral activities and responses,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Ueda Y, Hayashi K, Kuriowa K.",2005,IEEE Eng Med Biol Mag,10.1109/memb.2005.1411348,15825845.0,DUP_01732,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,the application of fmri to basic experiments in acupuncture the effects of stimulus points and content on cerebral activities and responses,,The application of fMRI to basic experiments in acupuncture. The effects of stimulus points and content on cerebral activities and responses.,IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society,2005,10.1109/memb.2005.1411348,Clinical Trial; Controlled Clinical Trial; Journal Article,"Acupuncture; Acupuncture Therapy; Adult; Brain; Brain Mapping; Evoked Potentials, Somatosensory; Female; Humans; Image Interpretation, Computer-Assisted; Magnetic Resonance Imaging; Male; Pain Threshold; Physical Stimulation",no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01519,Embase; PubMed,[Progress of the application of functional magnetic resonance imaging in research on mechanism of acupuncture],no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Liang FX, Wang H.",2004,Zhongguo Zhong Xi Yi Jie He Za Zhi,,15609613.0,DUP_01519,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,progress of the application of functional magnetic resonance imaging in research on mechanism of acupuncture,,[Progress of the application of functional magnetic resonance imaging in research on mechanism of acupuncture].,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine,2004,,Journal Article; Review,Acupuncture; Acupuncture Points; Animals; Brain; Electroacupuncture; Humans; Magnetic Resonance Imaging; Pain; Pain Management,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00236,Embase; PubMed,Acupuncture: the search for biologic evidence with functional magnetic resonance imaging and positron emission tomography techniques,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Cho ZH, Oleson TD, Alimi D, Niemtzow RC.",2002,J Altern Complement Med,10.1089/107555302760253577,12230898.0,DUP_00236,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,acupuncture the search for biologic evidence with functional magnetic resonance imaging and positron emission tomography techniques,,Acupuncture: the search for biologic evidence with functional magnetic resonance imaging and positron emission tomography techniques.,"Journal of alternative and complementary medicine (New York, N.Y.)",2002,10.1089/107555302760253577,Editorial; Comment,"Acupuncture Points; Brain; Electroacupuncture; Evidence-Based Medicine; Humans; Magnetic Resonance Imaging; Pain Management; Radiography; Reference Values; Tomography, Emission-Computed",no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01118,Embase; PubMed,"[Hui KK, Liu J, Makris N, Gollub RL, CHen AJ, Moore CI, Kennedy DN, Rosen BR, Kwong KK: Acupuncture modulates the limbic system and subcortical gray structures of the human brain: Evidence from fMRI studies in normal subjects. Hum Brain Mapp 2000; 9: 13-25]",no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Hennig J, Lacour M.",2000,Forsch Komplementarmed Klass Naturheilkd,,11203472.0,DUP_01118,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,hui kk liu j makris n gollub rl chen aj moore ci kennedy dn rosen br kwong kk acupuncture modulates the limbic system and subcortical gray structures of the human brain evidence from fmri studies in normal subjects hum brain mapp 2000 9 13 25,,"[Hui KK, Liu J, Makris N, Gollub RL, CHen AJ, Moore CI, Kennedy DN, Rosen BR, Kwong KK: Acupuncture modulates the limbic system and subcortical gray structures of the human brain: Evidence from fMRI studies in normal subjects. Hum Brain Mapp 2000; 9: 13-25].",Forschende Komplementarmedizin und klassische Naturheilkunde = Research in complementary and natural classical medicine,2000,,Journal Article,Acupuncture Therapy; Brain; Humans; Magnetic Resonance Imaging; Reference Values,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,yes,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01072,Embase; PubMed,Functional MRI explores mysteries of acupuncture,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Fang B, Hayes JC.",1999,Diagn Imaging (San Franc),,10539699.0,DUP_01072,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,functional mri explores mysteries of acupuncture,,Functional MRI explores mysteries of acupuncture.,Diagnostic imaging,1999,,Journal Article,Acupuncture Therapy; Adult; Brain; China; Female; Humans; Magnetic Resonance Imaging; Male; Oxygen; United States; Visual Cortex,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00347,Embase,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,World Journal of Acupuncture - Moxibustion,,,DUP_00347,records (1).csv,,,,include,animal/non-human study,high,acupuncture_term; possible_brain_neuro_term; coordinate_result_term; animal_flag; non_fMRI_modality_flag; acupuncture_adjacent_modality_flag,,include,carried over from first title screen,high,application and exploration of fnirs in brain function mechanism of acupuncture against insomnia,,,,,,,,no_pmid,,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_pmid); decision based on title only
DUP_00550,Embase,Clinical Efficacy of Electroacupuncture for Generalized Anxiety Disorder and Its Central Mechanism Based on Neuroimaging Changes,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,clinicaltrials.gov,,,DUP_00550,records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,clinical efficacy of electroacupuncture for generalized anxiety disorder and its central mechanism based on neuroimaging changes,,,,,,,,no_pmid,,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_pmid); decision based on title only
DUP_01247,Embase,Mechanism of Acupuncture at GB34 in Modulating Brain Functional Networks with Post-Stroke Hemiplegia: An Interpretable Graph Neural Network Study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,SSRN,,,DUP_01247,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,mechanism of acupuncture at gb34 in modulating brain functional networks with post stroke hemiplegia an interpretable graph neural network study,,,,,,,,no_pmid,,unclear,,low,unclear,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_01766,Embase,The Effect of Acupuncture Therapy on Cognitive Function in Post-COVID-19 Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Study With Multimodal Magnetic Resonance Imaging,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,clinicaltrials.gov,,,DUP_01766,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,the effect of acupuncture therapy on cognitive function in post covid 19 myalgic encephalomyelitis chronic fatigue syndrome a study with multimodal magnetic resonance imaging,,,,,,,,no_pmid,,unclear,,low,unclear,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_01767,Embase,The Effect of Acupuncture Treatment on Cognitive Functions and Brain Networks for Long COVID: a Multimodal Magnetic Resonance Imaging Study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,clinicaltrials.gov,,,DUP_01767,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,the effect of acupuncture treatment on cognitive functions and brain networks for long covid a multimodal magnetic resonance imaging study,,,,,,,,no_pmid,,unclear,,low,unclear,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_00184,Embase,Acupuncture Modulates Brain Connectivity and Outcomes of Pain and Vaso-occlusive Crisis in Patients with Sickle Cell Disease,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2025,Journal of Pain,,,DUP_00184,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; mechanism_deqi_pain_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,acupuncture modulates brain connectivity and outcomes of pain and vaso occlusive crisis in patients with sickle cell disease,,,,,,,,no_pmid,,unclear,,low,yes,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_00240,Embase,Acupuncture Therapy for Insomnia: An Alternative Therapy for the Modulation of Brain Functions,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2025,World Journal of Traditional Chinese Medicine,,,DUP_00240,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; coordinate_result_term,possible coordinate-based meta-analysis candidate,human_check,brain/neural term present but imaging modality/design unclear from title,medium,acupuncture therapy for insomnia an alternative therapy for the modulation of brain functions,,,,,,,,no_pmid,,unclear,,low,unclear,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_00355,Embase,Application of high-resolution magnetic resonance imaging (MRI) in the evaluation of acupuncture effects in traditional Chinese medicine,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2025,SLAS Technology,,,DUP_00355,records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,application of high resolution magnetic resonance imaging mri in the evaluation of acupuncture effects in traditional chinese medicine,,,,,,,,no_pmid,,unclear,,low,unclear,yes,no,unclear,no,no,yes,Acupuncture present; brain/imaging terms present but no clear fMRI keyword
DUP_00370,Embase,Assessing the Modulatory Effects of tDCS and Acupuncture on Cerebral Blood Flow in Chronic Low Back Pain Using Arterial Spin Labeling Perfusion Imaging,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2025,Brain Sciences,,,DUP_00370,records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; mechanism_deqi_pain_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,assessing the modulatory effects of tdcs and acupuncture on cerebral blood flow in chronic low back pain using arterial spin labeling perfusion imaging,,,,,,,,no_pmid,,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_pmid); decision based on title only
