record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title
DUP_00267,PubMed,Adjunctive PC6 magnetic stimulation with rTMS over left DLPFC for post-stroke cognitive impairment: a protocol for fNIRS-fMRI randomized controlled trial,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Sun N, He Y, Liu YW, Chen GL, Chen L, Yang HL, Lu JK, Xiong J, Xiong XY, He CQ.",2026,Front Neurol,10.3389/fneur.2026.1714491,42037687,DUP_00267,PUBMED_0518.csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,strong_fMRI_neuroimaging_term; sham_placebo_control_term; review_or_non_original_flag; protocol_flag; non_fMRI_modality_flag,,exclude,carried over from first title screen,high,adjunctive pc6 magnetic stimulation with rtms over left dlpfc for post stroke cognitive impairment a protocol for fnirs fmri randomized controlled trial
DUP_00277,Embase; PubMed,Alterations in neuroplasticity and functional connectivity of striatal subregions in Bell's palsy patients after acupuncture,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Yu Z, Song W, Yu B, Gu Y, Dai M, Xu M, Xuan L.",2026,Front Neurol,10.3389/fneur.2025.1684824,41602988,DUP_00277,PUBMED_0518.csv; records (1).csv,,,,include,animal/non-human study,high,acupuncture_term; strong_fMRI_neuroimaging_term; animal_flag,,include,carried over from first title screen,high,alterations in neuroplasticity and functional connectivity of striatal subregions in bell s palsy patients after acupuncture
DUP_00300,Embase; PubMed,An arterial spin-labeled magnetic resonance imaging study of brain activation in patients with major depressive disorder during acupuncture stimulation: An exploratory study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Matsuura Y, Kikuchi T, Yamaguchi S, Yoshimasu H, Matsuda H, Okudaira T, Yasuno F, Sakai T, Tsuchiya K.",2026,Psychiatry Res Neuroimaging,10.1016/j.pscychresns.2026.112220,41990725,DUP_00300,PUBMED_0518.csv; records (1).csv,,,,include,animal/non-human study,high,acupuncture_term; strong_fMRI_neuroimaging_term; animal_flag,,include,carried over from first title screen,high,an arterial spin labeled magnetic resonance imaging study of brain activation in patients with major depressive disorder during acupuncture stimulation an exploratory study
DUP_00347,Embase,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,World Journal of Acupuncture - Moxibustion,,,DUP_00347,records (1).csv,,,,include,animal/non-human study,high,acupuncture_term; possible_brain_neuro_term; coordinate_result_term; animal_flag; non_fMRI_modality_flag; acupuncture_adjacent_modality_flag,,include,carried over from first title screen,high,application and exploration of fnirs in brain function mechanism of acupuncture against insomnia
DUP_00398,Embase,Beyond the Pain: Rethinking Chronic Pain Management Through Integrated Therapeutic Approaches—A Systematic Review,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,International Journal of Molecular Sciences,,,DUP_00398,records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,mechanism_deqi_pain_term; review_or_non_original_flag; animal_flag,,exclude,carried over from first title screen,high,beyond the pain rethinking chronic pain management through integrated therapeutic approaches a systematic review
DUP_00414,Embase,Biomarkers of Motor Recovery After Corticospinal Tract Damage in Stroke: A Scoping Review,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,Applied Sciences (Switzerland),,,DUP_00414,records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,review_or_non_original_flag,,exclude,carried over from first title screen,high,biomarkers of motor recovery after corticospinal tract damage in stroke a scoping review
DUP_00420,Embase,Blurring the Line Between Control and Treatment: Reconsidering Sham Acupuncture in IBS Trials,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,Gastroenterology,,,DUP_00420,records (1).csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term; sham_placebo_control_term,,exclude,carried over from first title screen,medium,blurring the line between control and treatment reconsidering sham acupuncture in ibs trials
DUP_00446,Embase; PubMed,Brain functional basis of the association between positive expectation and acupuncture efficacy in knee osteoarthritis,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Wang ZY, Liu CZ, Wei XY, Zhang N, Li JL, Lee C, Zhou H, Tu JF, Wang X.",2026,Brain Imaging Behav,10.1007/s11682-026-01094-1,41642427,DUP_00446,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; mechanism_deqi_pain_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,brain functional basis of the association between positive expectation and acupuncture efficacy in knee osteoarthritis
DUP_00448,Embase; PubMed,Brain functional changes following spinal manipulation therapy in patients with lumbar disc herniation and chronic low back pain: a scoping review,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Cao L, Shu J, Li B.",2026,Front Neurol,10.3389/fneur.2025.1712320,41567532,DUP_00448,PUBMED_0518.csv; records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,possible_brain_neuro_term; mechanism_deqi_pain_term; review_or_non_original_flag,,exclude,carried over from first title screen,high,brain functional changes following spinal manipulation therapy in patients with lumbar disc herniation and chronic low back pain a scoping review
DUP_00449,Embase; PubMed,Brain functional changes in chronic partial sleep-deprivation population by electroacupuncture at shenmen(HT7) and neiguan (PC6) acupoints: A BOLD-fMRI study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Zeng H, Qiu G, Wang C, Liu P, Liu C, Liu M, Xie X, Ma L.",2026,Integr Med Res,10.1016/j.imr.2025.101250,41816267,DUP_00449,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,brain functional changes in chronic partial sleep deprivation population by electroacupuncture at shenmen ht7 and neiguan pc6 acupoints a bold fmri study
DUP_00476,PubMed,Brain sensory network activity underlies reduced nociceptive initiated and nociplastic pain via acupuncture in fibromyalgia,yes,pmid_match,140,41520025,Brain sensory network activity underlies reduced nociceptive initiated and nociplastic pain via acupuncture in fibromyalgia,yes,full_text_review_existing_pdf,"Sridhar A, Mawla I, Ichesco E, Pluimer B, Harte SE, Edwards R, Napadow V, Harris RE.",2026,Commun Med (Lond),10.1038/s43856-025-01280-0,41520025,DUP_00476,PUBMED_0518.csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term; mechanism_deqi_pain_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,brain sensory network activity underlies reduced nociceptive initiated and nociplastic pain via acupuncture in fibromyalgia
DUP_00500,PubMed,Cerebral blood flow and functional connectivity immediate changes following intradermal acupuncture in major depressive disorder,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Yu Z, Wu X, Yang J, Pei S, Wang J, Cao Z, Fang J, Shao X.",2026,Front Neurosci,10.3389/fnins.2026.1805907,42077350,DUP_00500,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,cerebral blood flow and functional connectivity immediate changes following intradermal acupuncture in major depressive disorder
DUP_00540,PubMed,Cheek acupuncture can improve the depressive and anxious symptoms of patients with moderate depression disorders,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Jia X, Shen P, Wang C, Zhou G, Zhou H, Xu F, Jiang S.",2026,Complement Ther Med,10.1016/j.ctim.2026.103383,42128035,DUP_00540,PUBMED_0518.csv,,,,exclude,animal/non-human study,high,acupuncture_term; animal_flag,,exclude,carried over from first title screen,high,cheek acupuncture can improve the depressive and anxious symptoms of patients with moderate depression disorders
DUP_00541,Embase,Chronic electroacupuncture treatment in obese minipigs modified gene expression and BOLD fMRI brain functional responses to sweet gustatory stimulation in the cortico-limbic-striatal circuits,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,SSRN,,,DUP_00541,records (1).csv,,,,exclude,animal/non-human study,high,acupuncture_term; strong_fMRI_neuroimaging_term; animal_flag,,exclude,carried over from first title screen,high,chronic electroacupuncture treatment in obese minipigs modified gene expression and bold fmri brain functional responses to sweet gustatory stimulation in the cortico limbic striatal circuits
DUP_00543,Embase,Chronic Pain Is a Brain Network Disorder,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,JAMA Neurology,,,DUP_00543,records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,possible_brain_neuro_term; mechanism_deqi_pain_term,,exclude,carried over from first title screen,high,chronic pain is a brain network disorder
DUP_00550,Embase,Clinical Efficacy of Electroacupuncture for Generalized Anxiety Disorder and Its Central Mechanism Based on Neuroimaging Changes,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2026,clinicaltrials.gov,,,DUP_00550,records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,clinical efficacy of electroacupuncture for generalized anxiety disorder and its central mechanism based on neuroimaging changes
DUP_00563,Embase; PubMed,Combined Acoustic-Acupuncture Stimulation Demonstrates Efficacy in Primary Tinnitus Rehabilitation: Objective Evidence From EEG Brain Network Analysis,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Yi C, Yu H, Li Q, Wang Z, Yang R, Song H, Yang M, Yao D, Xu P, Zhao YD, Li F.",2026,IEEE Trans Neural Syst Rehabil Eng,10.1109/TNSRE.2026.3664180,41686672,DUP_00563,PUBMED_0518.csv; records (1).csv,,,,exclude,animal/non-human study,high,acupuncture_term; possible_brain_neuro_term; animal_flag; non_fMRI_modality_flag,,exclude,carried over from first title screen,high,combined acoustic acupuncture stimulation demonstrates efficacy in primary tinnitus rehabilitation objective evidence from eeg brain network analysis
DUP_00569,Embase; PubMed,Commonality and specificity of acupuncture tonifying-reducing manipulations based on functional near-infrared spectroscopy,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Qu YZ, Cao JY, Chen L, Tian ZL, Guo J, Gong YL, Lin ZF, He BX, Yin T, Zeng F.",2026,J Integr Med,10.1016/j.joim.2025.09.006,41846211,DUP_00569,PUBMED_0518.csv; records (1).csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term; non_fMRI_modality_flag,,exclude,carried over from first title screen,medium,commonality and specificity of acupuncture tonifying reducing manipulations based on functional near infrared spectroscopy
DUP_00582,Embase; PubMed,Complementary and Integrative Medicine for the Treatment of Tourette's Syndrome,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Pringsheim T, Deans C, Anis S, Bhatia P, Black K, Degirmenci Y, Gilbert D, Hartmann A, Hull M, Malaty I, Martino D, Escobar AM, Mir P, Nilles C, Sarchioto M, Sammani Usman J, Sarva H, Smilowksa K, Szejko N, Tomczak K, van Wamelen D, Worbe Y.",2026,Mov Disord Clin Pract,10.1002/mdc3.70464,41334637,DUP_00582,PUBMED_0518.csv; records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,animal_flag,,exclude,carried over from first title screen,high,complementary and integrative medicine for the treatment of tourette s syndrome
DUP_00647,PubMed,Decoding acupoint specificity: from neural patterns to bodily maps,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Yoon DE, Ryu Y, Chae Y.",2026,Front Neurosci,10.3389/fnins.2026.1815538,42051558,DUP_00647,PUBMED_0518.csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term,,exclude,carried over from first title screen,medium,decoding acupoint specificity from neural patterns to bodily maps
DUP_00652,Embase; PubMed,Decoding the mechanisms of acupuncture by neuroimaging: an integrated review from networks to molecules,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Liu S, Bai Y, Liu J, Chen X, Lv P, Wang Y, Wang D, Wang S.",2026,Front Hum Neurosci,10.3389/fnhum.2026.1704570,41695037,DUP_00652,PUBMED_0518.csv; records (1).csv,,,,exclude,review/meta-analysis/scoping/bibliometric/protocol/commentary,high,acupuncture_term; strong_fMRI_neuroimaging_term; review_or_non_original_flag; animal_flag,,exclude,carried over from first title screen,high,decoding the mechanisms of acupuncture by neuroimaging an integrated review from networks to molecules
DUP_00719,Embase; PubMed,Dynamic brain set among the limbic-paralimbic-neocortical network during acupuncture,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Wang Z, Liu H, Wang Y, Lang Y, Yao ZA, Zhang S, He JK.",2026,Neuroscience,10.1016/j.neuroscience.2026.04.008,41999935,DUP_00719,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,dynamic brain set among the limbic paralimbic neocortical network during acupuncture
DUP_00755,Embase; PubMed,Effect of acupuncture Baihui acupoint-Yintang acupoint-Neiguan acupoint combined with conventional Western medicine treatment on cerebral blood flow in insomnia patients: a 3D-ASL functional magnetic resonance imaging study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Wang W, Lv X, Xie S, Jiang T, Zhou J.",2026,Front Neurol,10.3389/fneur.2026.1679885,41657421,DUP_00755,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; coordinate_result_term,possible coordinate-based meta-analysis candidate,include,carried over from first title screen,high,effect of acupuncture baihui acupoint yintang acupoint neiguan acupoint combined with conventional western medicine treatment on cerebral blood flow in insomnia patients a 3d asl functional magnetic resonance imaging study
DUP_00826,Embase; PubMed,Effects of 8-weeks acupuncture on eyes-closed resting state natural EEG frequency components in endometriosis: AcuENDO trial sub-study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"De Blasio FM, Dewsbury LS, Armour M, Cave AE, Steiner-Lim GZ.",2026,Acta Psychol (Amst),10.1016/j.actpsy.2026.106634,41830820,DUP_00826,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; non_fMRI_modality_flag,systematic review / possible fMRI candidate,include,carried over from first title screen,high,effects of 8 weeks acupuncture on eyes closed resting state natural eeg frequency components in endometriosis acuendo trial sub study
DUP_00837,Embase; PubMed,Effects of acupuncture on brain functional networks in patients with mild cognitive impairment and Alzheimer's disease: a systematic review and activation likelihood estimation meta-analysis of neuroimaging studies,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Wang K, Shao B, Ye LF, Wen JZ, Chen Y, Fang C, Luo X.",2026,Quant Imaging Med Surg,10.21037/qims-2025-1047,41522078,DUP_00837,PUBMED_0518.csv; records (1).csv,,,,exclude,review/meta-analysis/scoping/bibliometric/protocol/commentary,high,acupuncture_term; strong_fMRI_neuroimaging_term; coordinate_result_term; review_or_non_original_flag,,exclude,carried over from first title screen,high,effects of acupuncture on brain functional networks in patients with mild cognitive impairment and alzheimer s disease a systematic review and activation likelihood estimation meta analysis of neuroimaging studies
DUP_00833,PubMed,Effects of Acupuncture-Combined Tuina on Patients With Knee Osteoarthritis: Protocol for a Randomized Controlled Trial,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Gu C, Wei D, Zhang K, Ren J, Qiao Y, Zhang F, Zhu Y, Xu Z, Cao Y, Yao S, Guo H, Wang Y, Wang H, Wang L, Wang Q, Guo G.",2026,JMIR Res Protoc,10.2196/84082,41643120,DUP_00833,PUBMED_0518.csv,,,,exclude,review/meta-analysis/scoping/bibliometric/protocol/commentary,high,acupuncture_term; sham_placebo_control_term; review_or_non_original_flag; protocol_flag; acupuncture_adjacent_modality_flag,,exclude,carried over from first title screen,high,effects of acupuncture combined tuina on patients with knee osteoarthritis protocol for a randomized controlled trial
DUP_00875,Embase; PubMed,Efficacy and acupoint specificity of sedative-tranquilizing acupuncture for Alzheimer's disease with sleep disorders: A three-arm randomized controlled trial protocol,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Liu H, Zhong XC, Xiong J, Zhou L, Zeng SQ, Wang HB, Li ZQ.",2026,Complement Ther Med,10.1016/j.ctim.2026.103366,41916432,DUP_00875,PUBMED_0518.csv; records (1).csv,,,,exclude,review/meta-analysis/scoping/bibliometric/protocol/commentary,high,acupuncture_term; sham_placebo_control_term; review_or_non_original_flag; protocol_flag,,exclude,carried over from first title screen,high,efficacy and acupoint specificity of sedative tranquilizing acupuncture for alzheimer s disease with sleep disorders a three arm randomized controlled trial protocol
DUP_00893,Embase,Efficacy of Acupuncture Intervention in Patients with Primary Insomnia and Its Potential Cardiovascular Implications: A Randomized Controlled Trial Based on Electroencephalographic Microstate and Power Spectrum Analysis,no,no_match,,,,no,do_not_retrieve_unless_spot_check,,2026,"European Heart Journal, Supplement",,,DUP_00893,records (1).csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term; sham_placebo_control_term; coordinate_result_term; non_fMRI_modality_flag,,exclude,carried over from first title screen,medium,efficacy of acupuncture intervention in patients with primary insomnia and its potential cardiovascular implications a randomized controlled trial based on electroencephalographic microstate and power spectrum analysis
DUP_00912,Embase; PubMed,"Electroacupuncture ameliorates insomnia with anxiety and depression via modulating slow-wave oscillation, neurotransmitter pathways, and complement system: Insights from EEG and proteomics",no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Lin L, Zhao Y, Yang Y, Qin S, Wang X, Wang T, Liu C, Wu W.",2026,J Affect Disord,10.1016/j.jad.2026.121560,41791600,DUP_00912,PUBMED_0518.csv; records (1).csv,,,,exclude,animal/non-human study,high,acupuncture_term; coordinate_result_term; animal_flag; non_fMRI_modality_flag,,exclude,carried over from first title screen,high,electroacupuncture ameliorates insomnia with anxiety and depression via modulating slow wave oscillation neurotransmitter pathways and complement system insights from eeg and proteomics
