pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,disease_condition,n,direction,baseline_mean,baseline_sd,post_mean,R_within,R_controlled,POMP_baseline,POMP_post,POMP_change
26839078,SA,sham_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),11,-1,45.68,9.019188843160345,38.02,0.7839695291590784,,42.8,30.03333333333334,12.766666666666659
26839078,SA,sham_acupuncture,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),11,-1,44.27,11.61664754377032,37.34,0.5506686032110499,,40.45000000000001,28.90000000000001,11.55
26839078,VA1,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),11,-1,5.91,3.4266148981988187,4.18,0.4660351759290171,-0.17803356723021768,,,
26839078,VA1,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),11,-1,5.45,1.5483222873342812,3.18,1.3533,-0.09131568042712879,54.5,31.8,22.7
26839078,VA1,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),11,-1,45.05,9.010728065633929,39.2,0.599285647138225,0.456222154756829,41.74999999999999,32.00000000000001,9.749999999999986
26839078,VA1,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),11,-1,42.41,13.30034227152727,41.93,0.03331319706151006,-0.32470214161397015,37.349999999999994,36.55,0.7999999999999972
26839078,VA2,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),11,-1,7.45,4.103477100312166,6.18,0.2856864224290447,-0.25128076841030794,,,
26839078,VA2,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),11,-1,5.32,1.0829795233813553,3.73,1.3552355109261671,-0.2032370318587001,53.2,37.3,15.900000000000006
26839078,VA2,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),11,-1,45.27,9.40838460937552,41.77,0.34339255514169215,0.10092929984992939,42.116666666666674,36.28333333333334,5.833333333333336
26839078,VA2,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),11,-1,50.86,9.68759026774728,43.86,0.6669913036114611,0.6220242502804879,51.43333333333333,39.766666666666666,11.666666666666664
26839078,VA3,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),13,-1,5.54,4.019453845351436,4.08,0.34004831582256734,-0.22186642777664237,,,
26839078,VA3,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),13,-1,5.69,1.0485531770482006,3.15,2.2677651381683095,-0.047456385160859975,56.9,31.5,25.4
26839078,VA3,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),13,-1,46.75,11.49729360798466,37.96,0.7157281053080108,0.8453532087837217,44.583333333333336,29.933333333333334,14.650000000000002
26839078,VA3,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),13,-1,43.9,13.750763155149654,38.92,0.3390450120456406,0.28889405803485535,39.833333333333336,31.53333333333334,8.299999999999997
26839078,WT,waitlist,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),16,-1,4.31,2.857142857142857,8.63,-1.435118644067797,,,,
26839078,WT,waitlist,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),16,-1,5.66,1.0102040816326534,5.72,-0.05637390857729802,,56.6,57.2,-0.6000000000000014
26839078,WT,waitlist,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),16,-1,46.81,10.806122448979588,41.64,0.45410540804404576,,44.68333333333333,36.06666666666667,8.61666666666666
26839078,WT,waitlist,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),16,-1,47.34,9.928571428571432,41.25,0.5821924155590783,,45.56666666666668,35.416666666666664,10.150000000000013
27688791,arm_LR3,verum_acupuncture,Bodily pain (BP),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,79.07,14.85,80.14,0.0678,-0.32789749513827426,79.07,80.14,1.0700000000000074
27688791,arm_LR3,verum_acupuncture,General health (GH),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,50.64,14.05,52.5,0.12459702742306883,-0.2773205098678815,50.64,52.5,1.8599999999999994
27688791,arm_LR3,verum_acupuncture,Mental health (MH),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,68.86,14.98,66.29,-0.161470195554857,-0.5708764903403054,68.86,66.29,-2.569999999999993
27688791,arm_LR3,verum_acupuncture,Physical domain (PHD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,69.65,10.5,67.41,-0.20078431372549102,-0.5729278134850075,,,
27688791,arm_LR3,verum_acupuncture,Physical functioning (PF),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,85.71,12.69,84.29,-0.10531683122421454,-0.5056704478559254,85.71,84.29,-1.4199999999999875
27688791,arm_LR3,verum_acupuncture,Psychological domain (PSD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,79.55,14.21,81.98,0.16094713747568037,-0.2384258736742606,,,
27688791,arm_LR3,verum_acupuncture,Role emotional (RE),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,73.81,35.03,76.19,0.0639451898372822,-0.18265003243651537,73.81,76.19,2.3799999999999955
27688791,arm_LR3,verum_acupuncture,Role physical (RP),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,75.0,36.69,76.78,0.0456607827104677,-0.20808546398152958,75.0,76.78,1.7800000000000011
27688791,arm_LR3,verum_acupuncture,Social domain (SOD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,78.9,13.61,77.43,-0.10165535722003709,-0.5044958068894904,,,
27688791,arm_LR3,verum_acupuncture,Social functioning (SF),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,82.54,15.54,89.68,0.4324324324324325,0.07803550035050165,82.54,89.68,7.140000000000001
27688791,arm_LR3,verum_acupuncture,Specific domain (SPD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,68.8,14.69,75.1,0.40363592680094484,0.02240720301917969,,,
27688791,arm_LR3,verum_acupuncture,Total (TOT),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,73.82,11.7,75.94,0.17053795877325328,-0.26574928405073,,,
27688791,arm_LR3,verum_acupuncture,Vitality (VI),quality_of_life,SF-36,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,68.21,18.57,67.86,-0.01773892109347749,-0.4051537489733671,68.21,67.86,-0.3499999999999943
27688791,arm_sham,sham_acupuncture,Physical domain (PHD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,73.22,14.44,77.9,0.3050350334039437,,,,
27688791,arm_sham,sham_acupuncture,Psychological domain (PSD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,76.14,16.84,86.36,0.5711890456895347,,,,
27688791,arm_sham,sham_acupuncture,Social domain (SOD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,65.42,16.97,72.73,0.40542133176193296,,,,
27688791,arm_sham,sham_acupuncture,Specific domain (SPD),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,73.21,12.6,73.31,0.007469654528478694,,,,
27688791,arm_sham,sham_acupuncture,Total (TOT),quality_of_life,QLICD-HY,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)",14,1,71.66,13.08,79.18,0.5411045152005763,,,,
27812501,arm_sham,sham_acupuncture,Montgomery-Asberg depression rating scale (MADRS),symptom_severity,Montgomery-Asberg depression rating scale (MADRS),Major depressive disorder (MDD),18,-1,22.83,9.17,14.06,0.9136,,,,
27812501,arm_sham,sham_acupuncture,Self-Rating Depression Scale (SDS),symptom_severity,Self-Rating Depression Scale (SDS),Major depressive disorder (MDD),18,-1,47.44,9.23,34.94,1.2936401416535954,,45.733333333333334,24.899999999999995,20.83333333333334
27812501,arm_verum,verum_acupuncture,Montgomery-Asberg depression rating scale (MADRS),symptom_severity,Montgomery-Asberg depression rating scale (MADRS),Major depressive disorder (MDD),18,-1,22.94,7.36,5.44,2.27125243348475,0.7831114269028143,,,
27812501,arm_verum,verum_acupuncture,Self-Rating Depression Scale (SDS),symptom_severity,Self-Rating Depression Scale (SDS),Major depressive disorder (MDD),18,-1,47.833,6.46,26.83,3.1056605517305114,1.2162863457236008,46.38833333333333,11.38333333333333,35.004999999999995
27857211,EA,verum_acupuncture,Crohn's Disease Activity Index (CDAI),symptom_severity,Crohn's Disease Activity Index (CDAI),Crohn's disease (remission period),16,-1,76.17,40.11,48.06,0.6652,,,,
27857211,EA,verum_acupuncture,Inflammatory Bowel Disease Questionnaire (IBDQ),quality_of_life,Inflammatory Bowel Disease Questionnaire (IBDQ),Crohn's disease (remission period),16,1,170.83,22.72,188.11,0.7218906660300789,,,,
27857211,Mox,verum_acupuncture,Crohn's Disease Activity Index (CDAI),symptom_severity,Crohn's Disease Activity Index (CDAI),Crohn's disease (remission period),18,-1,71.78,42.93,40.56,0.6946678209233358,,,,
27857211,Mox,verum_acupuncture,Inflammatory Bowel Disease Questionnaire (IBDQ),quality_of_life,Inflammatory Bowel Disease Questionnaire (IBDQ),Crohn's disease (remission period),18,1,174.78,33.1,190.78,0.4617396401677413,,,,
29204113,arm_ea,verum_acupuncture,CDAI (Crohn's disease activity index),symptom_severity,CDAI,Crohn's disease (CD) in remission,18,-1,78.28,40.95,51.53,0.624,,,,
29204113,arm_ea,verum_acupuncture,IBDQ (inflammatory bowel disease questionnaire),quality_of_life,IBDQ,Crohn's disease (CD) in remission,18,1,171.72,20.17,187.18,0.7321646600907217,,,,
29204113,arm_moxa,verum_acupuncture,CDAI (Crohn's disease activity index),symptom_severity,CDAI,Crohn's disease (CD) in remission,20,-1,71.85,40.84,40.9,0.7275220372184131,,,,
29204113,arm_moxa,verum_acupuncture,IBDQ (inflammatory bowel disease questionnaire),quality_of_life,IBDQ,Crohn's disease (CD) in remission,20,1,176.1,32.23,192.05,0.47508532423208244,,,,
29563830,contra_group,verum_acupuncture,Function (CMS),function,Constant–Murley score (CMS); 0–100 points,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain,12,1,50.67,9.94,66.33,1.4655374105095689,,50.67,66.33,15.659999999999997
29563830,contra_group,verum_acupuncture,Pain intensity (VAS),pain,visual analog scale (VAS); 0–100 mm,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain,12,-1,67.92,16.16,47.5,1.1755,,679.2,475.0,204.20000000000005
29563830,ipsi_group,verum_acupuncture,Function (CMS),function,Constant–Murley score (CMS); 0–100 points,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain,8,1,56.88,16.69,61.38,0.23966446974236066,,56.88,61.38,4.5
29563830,ipsi_group,verum_acupuncture,Pain intensity (VAS),pain,visual analog scale (VAS); 0–100 mm,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain,8,-1,60.63,7.29,51.88,1.0669105319311079,,606.3,518.8,87.5
29951105,arm_A,verum_acupuncture,modified Barthel Index (MBI) score,function,modified Barthel Index (MBI),Ischemic stroke,11,1,32.386,13.153970820320254,44.9,0.8782,,32.386,44.9,12.513999999999996
29951105,arm_B,usual_care,modified Barthel Index (MBI) score,function,modified Barthel Index (MBI),Ischemic stroke,10,1,32.98,10.643645777617756,38.3,0.4569862715864125,,32.98,38.3,5.32
30034336,SAG,sham_acupuncture,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",Parkinson's disease with tremor,12,-1,0.56,0.32,0.58,-0.0581,,,,
30034336,SAG,sham_acupuncture,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",Parkinson's disease with tremor,12,-1,0.79,0.58,0.75,0.06415396952686454,,,,
30034336,SAG,sham_acupuncture,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),Parkinson's disease with tremor,12,-1,0.52,0.54,0.5,0.03445305770887169,,,,
30034336,SAG,sham_acupuncture,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),Parkinson's disease with tremor,12,-1,0.92,0.49,0.9,0.03796867584243003,,,,
30034336,SAG,sham_acupuncture,UPDRS II score,function,UPDRS II,Parkinson's disease with tremor,12,-1,11.25,4.58,10.33,0.1868589418096882,,,,
30034336,SAG,sham_acupuncture,UPDRS III score,symptom_severity,UPDRS III,Parkinson's disease with tremor,12,-1,19.5,8.49,19.25,0.02739200701235379,,,,
30034336,TAG,verum_acupuncture,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",Parkinson's disease with tremor,14,-1,0.84,0.75,0.71,0.1631372549019608,0.11477673308705755,,,
30034336,TAG,verum_acupuncture,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",Parkinson's disease with tremor,14,-1,0.88,0.45,0.82,0.12549019607843148,0.09208486708172958,,,
30034336,TAG,verum_acupuncture,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),Parkinson's disease with tremor,14,-1,0.89,0.82,0.76,0.1492109038737446,0.11471796826190415,,,
30034336,TAG,verum_acupuncture,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),Parkinson's disease with tremor,14,-1,1.17,0.52,0.85,0.5791855203619909,0.17703006066978416,,,
30034336,TAG,verum_acupuncture,UPDRS II score,function,"UPDRS II (Unified Parkinson's Disease Rating Scale, part II)",Parkinson's disease with tremor,14,-1,12.64,5.98,9.0,0.5728900255754475,1.093615729735317,,,
30034336,TAG,verum_acupuncture,UPDRS III score,symptom_severity,"UPDRS III (Unified Parkinson's Disease Rating Scale, part III)",Parkinson's disease with tremor,14,-1,26.0,15.07,21.64,0.2722979038994496,0.847612726142205,,,
30034336,WG,waitlist,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",Parkinson's disease with tremor,11,-1,0.85,0.53,0.91,-0.10449927431059516,,,,
30034336,WG,waitlist,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",Parkinson's disease with tremor,11,-1,0.82,0.66,0.82,-0.0,,,,
30034336,WG,waitlist,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),Parkinson's disease with tremor,11,-1,0.71,0.72,0.8,-0.11538461538461549,,,,
30034336,WG,waitlist,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),Parkinson's disease with tremor,11,-1,1.12,0.62,1.31,-0.28287841191066987,,,,
30034336,WG,waitlist,UPDRS II score,function,UPDRS II,Parkinson's disease with tremor,11,-1,11.09,6.58,12.27,-0.1655365910685059,,,,
30034336,WG,waitlist,UPDRS III score,symptom_severity,UPDRS III,Parkinson's disease with tremor,11,-1,24.36,14.07,26.73,-0.15548630474003614,,,,
32807158,M_Acu,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),Primary insomnia (PI),43,-1,13.26,4.21,5.91,1.7145,0.819979833375537,55.25,24.625,30.625
32807158,M_Acu,verum_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),Primary insomnia (PI),43,-1,14.84,2.77,8.49,2.2512375970081493,0.6388215031772035,70.66666666666667,40.42857142857143,30.23809523809524
32807158,N_Acu,sham_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),Primary insomnia (PI),43,-1,13.56,4.48,8.88,1.0258768177929853,,56.5,37.00000000000001,19.499999999999993
32807158,N_Acu,sham_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),Primary insomnia (PI),43,-1,15.21,2.95,11.6,1.2017456612199333,,72.42857142857143,55.23809523809524,17.19047619047619
32807158,S_Acu,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),Primary insomnia (PI),43,-1,12.4,3.14,7.0,1.688851596170716,0.3529161793205461,51.666666666666664,29.166666666666668,22.499999999999996
32807158,S_Acu,verum_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),Primary insomnia (PI),43,-1,14.7,2.99,8.79,1.9410810486051309,0.5024830216208171,70.0,41.857142857142854,28.142857142857146
33013312,arm_real,verum_acupuncture,Visual Analog Scale (VAS) abdominal pain severity,pain,Visual Analog Scale (VAS) 0-10,Primary dysmenorrhea (PDM),20,-1,6.17,0.99,3.35,2.7345,2.1289339095524795,61.7,33.5,28.200000000000003
33013312,arm_sham,sham_acupuncture,Visual Analog Scale (VAS) abdominal pain severity,pain,Visual Analog Scale (VAS) 0-10,Primary dysmenorrhea (PDM),15,-1,5.87,1.18,5.39,0.38459167950693407,,58.7,53.9,4.800000000000004
33146953,arm_FPI,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),Primary insomnia (PI),18,-1,13.22,3.66,2.22,2.8709,,55.083333333333336,9.250000000000002,45.833333333333336
33146953,arm_FPI,verum_acupuncture,Pittsburgh sleep quality index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),Primary insomnia (PI),18,-1,15.0,3.07,6.33,2.6976518061159998,,71.42857142857143,30.142857142857142,41.28571428571429
33146953,arm_MPI,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),Primary insomnia (PI),12,-1,12.17,1.53,2.5,5.8793129654962755,,50.708333333333336,10.416666666666666,40.29166666666667
33146953,arm_MPI,verum_acupuncture,Pittsburgh sleep quality index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),Primary insomnia (PI),12,-1,14.33,1.56,7.58,4.025044722719141,,68.23809523809524,36.095238095238095,32.142857142857146
34720908,arm_IBSD,verum_acupuncture,Abdominal pain days,symptom_severity,IBS-SSS subscale,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,45.9,33.3,19.49,0.7785,,9.18,3.8979999999999997,5.282
34720908,arm_IBSD,verum_acupuncture,HAMA,mood,Hamilton Anxiety Scale (HAMA),Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,17.69,8.76,10.88,0.7630893352382554,,31.58928571428572,19.428571428571427,12.160714285714292
34720908,arm_IBSD,verum_acupuncture,IBS-SSS (total),symptom_severity,Irritable Bowel Syndrome Symptom Severity Score (IBS-SSS),Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,250.26,88.84,121.95,1.4176999803879864,,,,
34720908,arm_IBSD,verum_acupuncture,Life influence degree,quality_of_life,IBS-SSS subscale,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,65.0,23.51,36.72,1.1807532625458947,,13.0,7.344,5.656
34720908,arm_IBSD,verum_acupuncture,Satisfaction with bowel movements,symptom_severity,IBS-SSS subscale,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,67.95,20.38,37.41,1.470947699235989,,13.59,7.481999999999999,6.1080000000000005
34720908,arm_IBSD,verum_acupuncture,The degree of abdominal distension,symptom_severity,IBS-SSS subscale,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,26.92,26.7,9.23,0.6503527032926634,,5.384,1.846,3.5380000000000003
34720908,arm_IBSD,verum_acupuncture,The degree of abdominal pain,symptom_severity,IBS-SSS subscale,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D),42,-1,42.82,27.16,18.85,0.866304652276444,,8.564,3.7700000000000005,4.794
35048524,arm_cnsp,verum_acupuncture,HAM-A score,mood,Hamilton Anxiety Rating Scale (HAM-A),Chronic neck and shoulder pain (CNSP),30,-1,11.77,8.02,7.8,0.48209910007589724,,,,
35048524,arm_cnsp,verum_acupuncture,HAM-D score,mood,Hamilton Depression Rating Scale (HAM-D),Chronic neck and shoulder pain (CNSP),30,-1,12.1,9.0,9.2,0.31381642512077296,,,,
35048524,arm_cnsp,verum_acupuncture,MMSE score,cognition,Mini-Mental State Examination (MMSE),Chronic neck and shoulder pain (CNSP),30,1,28.0,1.78,28.37,0.20244259892525704,,93.33333333333333,94.56666666666666,1.2333333333333343
35048524,arm_cnsp,verum_acupuncture,MoCA score,cognition,Montreal Cognitive Assessment (MoCA),Chronic neck and shoulder pain (CNSP),30,1,25.93,3.18,26.77,0.25726004922067264,,86.43333333333334,89.23333333333333,2.799999999999997
35048524,arm_cnsp,verum_acupuncture,NDI score,function,Neck Disability Index (NDI),Chronic neck and shoulder pain (CNSP),30,-1,37.47,14.77,14.97,1.4836183803832683,,74.94,29.94,45.0
35048524,arm_cnsp,verum_acupuncture,NPQ score,function,Northwick Park Neck Pain Questionnaire (NPQ),Chronic neck and shoulder pain (CNSP),30,-1,43.97,13.14,16.44,2.0404738270134337,,,,
35048524,arm_cnsp,verum_acupuncture,NRS score,pain,Numerical Rating Scale (NRS),Chronic neck and shoulder pain (CNSP),30,-1,6.07,1.36,1.73,3.1079,,60.7,17.3,43.400000000000006
35048524,arm_cnsp,verum_acupuncture,PCS score,symptom_severity,Pain Catastrophizing Scale (PCS),Chronic neck and shoulder pain (CNSP),30,-1,16.47,13.17,9.57,0.5102505694760819,,31.673076923076923,18.403846153846153,13.26923076923077
35557556,arm_CSAP_all,other,Frequency of angina attacks,symptom_severity,Frequency of angina attacks for 2 weeks,Chronic stable angina pectoris (CSAP),29,-1,5.48,4.17,4.45,0.24032665759284472,,,,
35557556,arm_CSAP_all,other,McGill pain score,pain,McGill Pain Questionnaire,Chronic stable angina pectoris (CSAP),29,-1,10.17,3.86,6.36,0.9603696961209914,,22.6,14.133333333333333,8.466666666666669
