key_path,section,n_papers_present,pct_papers,example_value
neural_results.contrasts.network_edges_or_connectivity_results,neural_results,158,99.4,"[{'edge_id': 'FC_FD_ACC_SMA', 'seed_or_node_1_exact': 'left ACC (anterior cingulate cortex)', 'node_2_exact': 'supplemen"
neural_results.contrasts.neuroimaging_metric_exact,neural_results,158,99.4,Regional homogeneity (ReHo)
neural_results.contrasts.result_level,neural_results,158,99.4,figure_only
neural_results.contrasts.roi_definition_exact,neural_results,158,99.4,ACC area showing increased ReHo after acupuncture treatment in FD group
neural_results.contrasts.seed_or_roi_exact,neural_results,158,99.4,left ACC (anterior cingulate cortex)
neural_results.contrasts.statistical_model_exact,neural_results,158,99.4,paired t-test
neural_results.contrasts.thresholding_method_exact,neural_results,158,99.4,FWE correction at P < 0.05
neural_results.contrasts.timepoint_exact,neural_results,158,99.4,post-treatment vs baseline
arms.arm_id,arms,157,98.7,arm_FD
arms.arm_label_exact,arms,157,98.7,Functional diarrhea
arms.arm_type_coded,arms,157,98.7,verum_acupuncture
arms.dropouts,arms,157,98.7,6 excluded as acute tinnitus patients; 10 withdrew consent
arms.n_analyzed_clinical,arms,157,98.7,18
arms.n_assigned,arms,157,98.7,18
arms.n_completed,arms,157,98.7,18
arms.n_analyzed_neuroimaging,arms,156,98.1,18
expectancy_blinding_credibility.arm_id,expectancy_blinding_credibility,152,95.6,all_arms
expectancy_blinding_credibility.condition_id,expectancy_blinding_credibility,152,95.6,phnt_acupuncture_run
expectancy_blinding_credibility.construct,expectancy_blinding_credibility,152,95.6,expectancy
expectancy_blinding_credibility.instrument_name_exact,expectancy_blinding_credibility,152,95.6,James blinding index
expectancy_blinding_credibility.measure_id,expectancy_blinding_credibility,152,95.6,expect_not_assessed
expectancy_blinding_credibility.n_analyzed,expectancy_blinding_credibility,152,95.6,74
expectancy_blinding_credibility.reporting_format,expectancy_blinding_credibility,152,95.6,count
expectancy_blinding_credibility.statistical_result_exact,expectancy_blinding_credibility,152,95.6,James blinding index = .58; upper bound of 95% CI = .70 (> .5)
expectancy_blinding_credibility.timepoint_exact,expectancy_blinding_credibility,152,95.6,baseline
expectancy_blinding_credibility.value_exact,expectancy_blinding_credibility,152,95.6,"AG: Yes 8(29.63%), No 19(70.37%); SG: Yes 7(28.00%), No 18(72.00%); WG: Yes 2(9.10%), No 20(90.91%)"
interventions.non_acupoint_locations_exact,interventions,151,95.0,"['NA1', 'NA2', 'NA3', 'NA4', 'NA5', 'NA6', 'NA7']"
sensory_interoceptive_responses.arm_id,sensory_interoceptive_responses,150,94.3,arm_FD
sensory_interoceptive_responses.between_group_difference_exact,sensory_interoceptive_responses,150,94.3,p<0.01
sensory_interoceptive_responses.condition_id,sensory_interoceptive_responses,150,94.3,cond_tinnitus_post
sensory_interoceptive_responses.instrument_name_exact,sensory_interoceptive_responses,150,94.3,Visual Analogue Scale (VAS)
sensory_interoceptive_responses.item_or_subscale_exact,sensory_interoceptive_responses,150,94.3,"Deqi sensations: soreness, numbness, distention, and heaviness"
sensory_interoceptive_responses.n_analyzed,sensory_interoceptive_responses,150,94.3,20
sensory_interoceptive_responses.notes,sensory_interoceptive_responses,150,94.3,"Deqi was intended and described as an endpoint of manipulation, but quantitative measurement of achieved Deqi was not re"
sensory_interoceptive_responses.p_value_exact,sensory_interoceptive_responses,150,94.3,<0.05
sensory_interoceptive_responses.reporting_format,sensory_interoceptive_responses,150,94.3,narrative
sensory_interoceptive_responses.response_domain,sensory_interoceptive_responses,150,94.3,deqi
sensory_interoceptive_responses.response_id,sensory_interoceptive_responses,150,94.3,sens_deqi_FD
sensory_interoceptive_responses.statistical_test_exact,sensory_interoceptive_responses,150,94.3,one sample t-test; REAL Vs. PHNT comparison shown in Table 1
sensory_interoceptive_responses.timepoint_exact,sensory_interoceptive_responses,150,94.3,during acupuncture sessions
sensory_interoceptive_responses.value_exact,sensory_interoceptive_responses,150,94.3,"soreness, numbness, distention, and heaviness (intended; achieved described as Deqi)"
sensory_interoceptive_responses.within_group_change_exact,sensory_interoceptive_responses,150,94.3,"Comparison between different time points: F = 4.128, P = 0.007"
clinical_behavioral_outcomes.analysis_population_exact,clinical_behavioral_outcomes,134,84.3,14 chronic tinnitus patients who completed 12 sessions
clinical_behavioral_outcomes.arm_id,clinical_behavioral_outcomes,134,84.3,arm_FD
clinical_behavioral_outcomes.between_group_difference_exact,clinical_behavioral_outcomes,134,84.3,"significantly more frequent defecations vs HC, P = 0.000"
clinical_behavioral_outcomes.condition_id,clinical_behavioral_outcomes,134,84.3,cond_FD_pre
clinical_behavioral_outcomes.effect_size_reported_exact,clinical_behavioral_outcomes,134,84.3,ES=0.770 (AG vs. SG)
clinical_behavioral_outcomes.n_analyzed,clinical_behavioral_outcomes,134,84.3,18
clinical_behavioral_outcomes.n_responders,clinical_behavioral_outcomes,134,84.3,23
clinical_behavioral_outcomes.notes,clinical_behavioral_outcomes,134,84.3,Baseline comparison between FD and HC
clinical_behavioral_outcomes.outcome_domain,clinical_behavioral_outcomes,134,84.3,symptom_severity
clinical_behavioral_outcomes.outcome_id,clinical_behavioral_outcomes,134,84.3,clin_FD_defec_pre
clinical_behavioral_outcomes.outcome_measure_exact,clinical_behavioral_outcomes,134,84.3,times of defecation throughout the second week
clinical_behavioral_outcomes.p_value_exact,clinical_behavioral_outcomes,134,84.3,0.000
clinical_behavioral_outcomes.reporting_format,clinical_behavioral_outcomes,134,84.3,mean ± SD
clinical_behavioral_outcomes.responder_definition_exact,clinical_behavioral_outcomes,134,84.3,proportion of patients with a decrease of more than 2 points on the NRS at week 4 compared with baseline
clinical_behavioral_outcomes.scale_name_exact,clinical_behavioral_outcomes,134,84.3,Defecation frequency (times per week)
clinical_behavioral_outcomes.statistical_test_exact,clinical_behavioral_outcomes,134,84.3,two independent-sample t-tests or Mann-Whitney U test
clinical_behavioral_outcomes.timepoint_exact,clinical_behavioral_outcomes,134,84.3,Baseline (pre-acupuncture)
clinical_behavioral_outcomes.value_exact,clinical_behavioral_outcomes,134,84.3,16.17 ± 5.28
clinical_behavioral_outcomes.within_group_change_exact,clinical_behavioral_outcomes,134,84.3,decreased from 16.17 ± 5.28 to 9.78 ± 3.75
neural_results.contrasts.coordinates_or_clusters.atlas_label_exact,neural_results,131,82.4,dorsolateral prefrontal cortex (DLPFC)
neural_results.contrasts.coordinates_or_clusters.brain_region_exact,neural_results,131,82.4,middle temporal gyrus
neural_results.contrasts.coordinates_or_clusters.brodmann_area_exact,neural_results,131,82.4,BA 47
neural_results.contrasts.coordinates_or_clusters.cluster_extent_unit_exact,neural_results,131,82.4,voxels
neural_results.contrasts.coordinates_or_clusters.cluster_size_exact,neural_results,131,82.4,23 voxels
neural_results.contrasts.coordinates_or_clusters.conversion_status_exact,neural_results,131,82.4,
neural_results.contrasts.coordinates_or_clusters.coordinate_source,neural_results,131,82.4,text
neural_results.contrasts.coordinates_or_clusters.coordinate_space_inference_note,neural_results,131,82.4,MNI likely based on SPM5 normalization to MNI template
neural_results.contrasts.coordinates_or_clusters.coordinate_space_reported_exact,neural_results,131,82.4,MNI
neural_results.contrasts.coordinates_or_clusters.coordinate_triplet_exact,neural_results,131,82.4,"-45, 18, 48"
neural_results.contrasts.coordinates_or_clusters.direction_exact,neural_results,131,82.4,decrease
neural_results.contrasts.coordinates_or_clusters.hemisphere_exact,neural_results,131,82.4,left
neural_results.contrasts.coordinates_or_clusters.p_value_exact,neural_results,131,82.4,P < 0.05 FWE corrected
neural_results.contrasts.coordinates_or_clusters.peak_or_cluster_level,neural_results,131,82.4,not_specified
neural_results.contrasts.coordinates_or_clusters.row_id,neural_results,131,82.4,ReHo_FD_dec_1
neural_results.contrasts.coordinates_or_clusters.statistic_type_exact,neural_results,131,82.4,r
neural_results.contrasts.coordinates_or_clusters.statistic_value_exact,neural_results,131,82.4,r = −0.6688
neural_results.contrasts.coordinates_or_clusters.x,neural_results,131,82.4,-45
neural_results.contrasts.coordinates_or_clusters.y,neural_results,131,82.4,18
neural_results.contrasts.coordinates_or_clusters.z,neural_results,131,82.4,48
neural_results.contrasts.network_edges_or_connectivity_results.correction_method_exact,neural_results,100,62.9,FWE correction
neural_results.contrasts.network_edges_or_connectivity_results.direction_exact,neural_results,100,62.9,negatively correlated (decreased functional connectivity after acupuncture)
neural_results.contrasts.network_edges_or_connectivity_results.edge_id,neural_results,100,62.9,FC_FD_ACC_SMA
neural_results.contrasts.network_edges_or_connectivity_results.network_name_exact,neural_results,100,62.9,homeostatic afferent processing network
neural_results.contrasts.network_edges_or_connectivity_results.node_2_exact,neural_results,100,62.9,supplementary motor area
neural_results.contrasts.network_edges_or_connectivity_results.p_value_exact,neural_results,100,62.9,P < 0.05 FWE corrected
neural_results.contrasts.network_edges_or_connectivity_results.seed_or_node_1_exact,neural_results,100,62.9,left ACC (anterior cingulate cortex)
neural_results.contrasts.network_edges_or_connectivity_results.statistic_type_exact,neural_results,100,62.9,T
neural_results.contrasts.network_edges_or_connectivity_results.statistic_value_exact,neural_results,100,62.9,-8.03
neural_results.contrasts.network_edges_or_connectivity_results.value_exact,neural_results,100,62.9,"T = -8.03, P = 0.0000114"
adverse_events.source_location,adverse_events,27,17.0,No adverse events section reported in paper
arms.source_location,arms,27,17.0,"Methods Section 2.1, Table 1, Page 2 and 4"
conditions.source_location,conditions,27,17.0,"Figure 1(b), Methods Section 2.4, Page 2-3"
expectancy_blinding_credibility.source_location,expectancy_blinding_credibility,27,17.0,"page 5, Table 1"
extraction_notes.source_location,extraction_notes,27,17.0,"Results Sections 3.3 and 3.4, Figures 2 and 4, Pages 4-6"
funding_conflicts_registration.source_location,funding_conflicts_registration,27,17.0,"Conflict of Interests and Acknowledgments sections, Page 7"
interventions.source_location,interventions,27,17.0,"Methods Section 2.2, Page 2"
neural_results.contrasts.source_location,neural_results,27,17.0,"Results Section 3.3, Figure 2, Page 4-5"
neuroimaging_methods.source_location,neuroimaging_methods,27,17.0,"Methods Sections 2.4, 2.6, 2.7, Page 2-3"
sensory_interoceptive_responses.source_location,sensory_interoceptive_responses,27,17.0,"Methods Section 2.2, Page 2"
study.source_location,study,27,17.0,"Abstract, Introduction, Methods Section 2.1, Page 1-2"
clinical_behavioral_outcomes.source_location,clinical_behavioral_outcomes,23,14.5,"Table 1, Page 4"
neural_results.contrasts.coordinates_or_clusters.source_location,neural_results,22,13.8,"Results Section 3.3, Page 4"
neural_results.contrasts.model_performance_results.features_exact,neural_results,21,13.2,"right SPL fALFF (baseline), occupation (baseline), ODI (baseline), SF-36 for physical (baseline)"
neural_results.contrasts.model_performance_results.model_result_id,neural_results,21,13.2,MR_01
neural_results.contrasts.model_performance_results.model_type_exact,neural_results,21,13.2,support vector regression (SVR) with linear kernel
neural_results.contrasts.model_performance_results.performance_metric_exact,neural_results,21,13.2,Pearson correlation coefficient (r) and root mean square error (RMSE)
neural_results.contrasts.model_performance_results.performance_value_exact,neural_results,21,13.2,"r = .420, RMSE = 9.298"
neural_results.contrasts.model_performance_results.statistical_significance_exact,neural_results,21,13.2,P = .037
neural_results.contrasts.model_performance_results.target_outcome_exact,neural_results,21,13.2,4-week ODI values in AG
neural_results.contrasts.model_performance_results.validation_method_exact,neural_results,21,13.2,leave-one-out cross-validation (LOOCV)
neural_results.contrasts.network_edges_or_connectivity_results.source_location,neural_results,15,9.4,"Results Section 3.4, Figure 4, Page 4 and 6"
neural_results.contrasts.notes,neural_results,12,7.5,Table 8 lists two regions; however Figure 6 caption also mentions 'Right angular gyrus' as a third region with increased
interventions.non_acupuncture_locations_exact,interventions,8,5.0,"['needle-insertion point (ankle zone 5 of the left leg, crosspoint of three-finger width above the lateral malleolus and"
expectancy_blinding_credibility.notes,expectancy_blinding_credibility,4,2.5,"Expectancy, credibility, blinding success, and allocation guessing were not assessed or reported in this study"
neural_results.contrasts.model_performance_results.source_location,neural_results,4,2.5,"page 5-6, Primary Outcome Prediction Results in the AG; Figure 5B"
neuroimaging_methods.additional_details,neuroimaging_methods,4,2.5,"{'dual_wavelengths': '760 nm and 850 nm', 'sampling_rate': '7.81 Hz', 'channels': '18 channels (8 source and 8 detector "
adverse_events.notes,adverse_events,3,1.9,Adverse events were not reported in this study
neural_results.contrasts.narrative_result,neural_results,3,1.9,The periodic parameters of delta frequency band did not significant differ between three states (periodic power: p = 0.9
neuroimaging_methods.additional_details.sampling_rate,neuroimaging_methods,3,1.9,7.81 Hz
interventions.non_acupuncture_point_locations_exact,interventions,2,1.3,
neuroimaging_methods.additional_details.channels,neuroimaging_methods,2,1.3,18 channels (8 source and 8 detector LEDs)
neuroimaging_methods.additional_details.source_detector_distance,neuroimaging_methods,2,1.3,approximately 3 cm
neuroimaging_methods.additional_notes,neuroimaging_methods,2,1.3,48 measurement channels; 15 light sources and 16 detectors; source-detector distance 3 cm; sampling rate 9 Hz; spatial r
arms.n_analyzed_neuroimaging_block,arms,1,0.6,14
arms.n_analyzed_neuroimaging_rest,arms,1,0.6,15
conditions.scan_content,conditions,1,0.6,"third run of fMRI (Run 3), first stimulation block; 2 minutes stimulation"
extraction_notes.note_id,extraction_notes,1,0.6,note_non_acupoints
interventions.moxibustion_composition_exact,interventions,1,0.6,"herbal disc composed of Monkshood, Coptis chinensis, Radix aucklandiae, Carthamus tinctorius, Salvia and Angelica sinens"
interventions.treatment_rationale_exact,interventions,1,0.6,Additional acupoints were selected according to meridian diagnosis and the patient's symptoms
neural_results.contrasts.additional_notes,neural_results,1,0.6,"Abstract states LPFC~LPFC, RPFC~RPFC, LMC~LMC, and RMC~RMC all significantly lower in combined vs acupuncture; results s"
neural_results.contrasts.coordinates_or_clusters.notes,neural_results,1,0.6,This row appears to be a duplicate of AD_sham_inc_01 in the original Table 2; reproduced faithfully from table
neuroimaging_methods.additional_acquisition_parameters,neuroimaging_methods,1,0.6,"{'matrix_size_exact': '512 × 512', 'FOV_exact': '25 mm × 25 mm', 'slice_thickness_exact': '4.0 mm', 'number_of_excitatio"
neuroimaging_methods.additional_acquisition_parameters.ASL_labeling_scheme_exact,neuroimaging_methods,1,0.6,pulsed arterial spin-labeling (PASL) approach; arterial blood water is magnetically labeled by a short radiofrequency pu
neuroimaging_methods.additional_acquisition_parameters.FOV_exact,neuroimaging_methods,1,0.6,25 mm × 25 mm
neuroimaging_methods.additional_acquisition_parameters.matrix_size_exact,neuroimaging_methods,1,0.6,512 × 512
neuroimaging_methods.additional_acquisition_parameters.number_of_excitations_exact,neuroimaging_methods,1,0.6,3
neuroimaging_methods.additional_acquisition_parameters.post_label_delay_exact,neuroimaging_methods,1,0.6,"1,500 ms"
neuroimaging_methods.additional_acquisition_parameters.slice_thickness_exact,neuroimaging_methods,1,0.6,4.0 mm
neuroimaging_methods.additional_details.FOV_rsfmri,neuroimaging_methods,1,0.6,240 mm × 240 mm
neuroimaging_methods.additional_details.FOV_t1,neuroimaging_methods,1,0.6,256 mm × 256 mm
neuroimaging_methods.additional_details.MVAR_model,neuroimaging_methods,1,0.6,multivariable autoregressive (MVAR) model; order p calculated by Akaike information criterion; coefficients obtained wit
neuroimaging_methods.additional_details.artifact_removal,neuroimaging_methods,1,0.6,independent component analysis (ICA) for removing EOG artifacts; artifact components are automatically identified and re
neuroimaging_methods.additional_details.channel_mapping,neuroimaging_methods,1,0.6,"Channels 1-9 signify left hemisphere; Channels 10-18 signify right hemisphere; specifically channels F1, F3, AF3, AF7, F"
neuroimaging_methods.additional_details.correlation_method,neuroimaging_methods,1,0.6,Pearson correlation coefficients between mean BOLD time course from seed region and all other brain voxels; converted to
