pmid,contrast_id,contrast_label,contrast_type,contrast_category,method_category,arm_1,arm_2,analysis_method,analysis_scope,direction,n_subjects,disease_condition,title
9482939,con_006,Acupuncture stimulation VA1 – 'yang' character subjects: negative signal intensity correlation with visual stimulation,subgroup activation analysis (yang character),deactivation,whole_brain_activation,arm_acupoint,not_applicable,correlation coefficient (cc); time-course signal intensity compared; yang subjects show opposite signal intensity variation compared to visual stimulation,whole_brain,negative (opposite direction to visual stimulation),12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
17240066,contrast_cross_sect_GROUP_x_STIM,Baseline GROUP × STIM Interaction: (CTSbase.acup – CTSbase.sham) - (HC.acup – HC.sham),2×2 mixed effects ANOVA interaction: GROUP (CTS vs HC) × STIM (verum vs sham acupuncture),group_comparison,whole_brain_activation,arm_CTS_baseline,arm_HC,"2×2 mixed effects ANOVA with FLAME (FMRIB's Local Analysis of Mixed Effects, stage 1 only); MCMC-based mixed effects analysis with FLAME",whole_brain,mixed (positive and negative interactions reported),19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_sham_CTS_vs_HC,Sham Acupuncture Processing at Baseline: CTS > Healthy Controls,between-group comparison for sham acupuncture processing,group_comparison,whole_brain_activation,arm_CTS_baseline,arm_HC,mixed effects group comparison,whole_brain,CTS > HC (greater fMRI signal increase in CTS patients),19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_long_CTS_STIM_x_TIME,STIM × TIME Interaction - Carpal Tunnel Syndrome: (CTSbase.acup – CTSbase.sham) - (CTSpost.acup – CTSpost.sham),2×2 mixed effects ANOVA interaction: TIME (baseline vs post-acupuncture) × STIM (verum vs sham acupuncture) for CTS patients,group_comparison,whole_brain_activation,arm_CTS_baseline,arm_CTS_postacup,"2×2 mixed effects ANOVA with FLAME (FMRIB's Local Analysis of Mixed Effects, stage 1 only); MCMC-based mixed effects analysis",whole_brain,mixed (positive and negative interactions reported),19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_HC_retest_STIM_x_TIME,STIM × TIME Interaction - Healthy Controls: (HCbase.acup – HCbase.sham) - (HCpost.acup – HCpost.sham),2×2 mixed effects ANOVA interaction: TIME (baseline vs re-test) × STIM (verum vs sham acupuncture) for healthy controls,group_comparison,whole_brain_activation,arm_HC,arm_HC,2×2 mixed effects ANOVA with FLAME; MCMC-based mixed effects analysis,whole_brain,mixed,19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_FC_amygdala_hypothalamus,Functional connectivity between amygdala and hypothalamus in CTS patients at baseline responding to verum acupuncture,within-subject correlation matrix of percent signal change across brain regions,other,roi_fc,arm_CTS_baseline,not_applicable,correlation matrix of fMRI signal response across 13 brain regions from baseline cross-sectional ANOVA interaction (Table 1); Bonferroni corrected for multiple comparisons; computed in MATLAB,ROI,positive correlation,19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_hypoth_digit_separation_correlation,Correlation between hypothalamic fMRI signal response to verum acupuncture and digit 2/digit 3 somatotopic separation in contralateral SI in CTS patients at baseline,brain-behavior correlation,correlation_clinical,correlation_brain_behavior,arm_CTS_baseline,not_applicable,Pearson correlation between hypothalamic fMRI percent signal change and digit 2/digit 3 somatotopic separation distance in contralateral SI,ROI,"negative correlation (r=−0.85): the greater the maladaptive plasticity (larger digit separation), the less the hypothalamic activation",19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,contrast_hypoth_sharppain_trend,Negative trend between hypothalamic fMRI signal response and intensity of sharp pain elicited by verum acupuncture,brain-behavior correlation (trend),correlation_deqi,correlation_brain_behavior,arm_CTS_baseline,not_applicable,Pearson correlation between hypothalamic fMRI percent signal change and sharp pain intensity,ROI,"negative trend: the more sharp pain, the less fMRI signal increase in the LHA",19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,17532141_C1,Baseline GROUP x STIM Interaction: (CTSbase.acup - CTSbase.sham) - (HC.acup - HC.sham),activation,group_comparison,whole_brain_activation,CTS patients at baseline (verum vs sham acupuncture),Healthy controls (verum vs sham acupuncture),activation,whole_brain,CTS > HC for LHA (positive); HC > CTS for all others (negative),19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,17532141_C3,STIM x TIME Interaction: Carpal Tunnel Syndrome: (CTSbase.acup - CTSbase.sham) - (CTSpost.acup - CTSpost.sham),activation,group_comparison,whole_brain_activation,CTS patients at baseline (verum vs sham acupuncture),CTS patients post-acupuncture (verum vs sham acupuncture),activation,whole_brain,Baseline CTS > Post-acupuncture CTS for most; Post > Baseline for LHA,19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
17240066,17532141_C4,STIM x TIME Interaction: Healthy Controls: (HCbase.acup - HCbase.sham) - (HCpost.acup - HCpost.sham),activation,group_comparison,whole_brain_activation,HC at baseline (verum vs sham acupuncture),HC at retest (verum vs sham acupuncture),activation,whole_brain,mixed,19,Carpal Tunnel Syndrome (CTS),Hypothalamus and Amygdala Response to Acupuncture Stimuli in Carpal Tunnel Syndrome
19559684,con_GLM_acu_LI4_deact,BOLD deactivation during manual acupuncture at LI4,needle manipulation vs. needle in place (baseline),deactivation,whole_brain_activation,arm_acupuncture,not_applicable,General linear model (GLM) using AFNI 3dDeconvolve,whole_brain,deactivation (signal decrease),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_acu_ST36_deact,BOLD deactivation during manual acupuncture at ST36,needle manipulation vs. needle in place (baseline),deactivation,whole_brain_activation,arm_acupuncture,not_applicable,General linear model (GLM) using AFNI 3dDeconvolve,whole_brain,deactivation (signal decrease),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_acu_LV3_deact,BOLD deactivation during manual acupuncture at LV3,needle manipulation vs. needle in place (baseline),deactivation,whole_brain_activation,arm_acupuncture,not_applicable,General linear model (GLM) using AFNI 3dDeconvolve,whole_brain,deactivation (signal decrease),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_acu_vs_tactile_deact,Acupuncture vs. tactile stimulation: deactivation network (task-negative),"paired t-test, acupuncture vs. tactile stimulation, deactivation network",verum_gt_sham,whole_brain_activation,arm_acupuncture,arm_tactile,Paired voxel by voxel t-test (AFNI); GLM,ROI,deactivation (signal decrease); acupuncture > tactile stimulation in extent and magnitude,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_acu_vs_tactile_act,Acupuncture vs. tactile stimulation: activation network (task-positive),"paired t-test, acupuncture vs. tactile stimulation, activation network",verum_gt_sham,whole_brain_activation,arm_acupuncture,arm_tactile,Paired voxel by voxel t-test (AFNI); GLM,ROI,activation (signal increase),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_deqi_vs_pain_deact,Deqi vs. deqi plus sharp pain: deactivation network,"two sample t-test, deqi vs. deqi mixed with sharp pain, deactivation network",correlation_deqi,whole_brain_activation,arm_acupuncture,arm_acupuncture,"Standard voxel by voxel two sample t-test (3dttest, AFNI)",ROI,"deactivation attenuated or reversed in presence of sharp pain; hypothalamus, left amygdala and cerebellar vermis became activated in pain condition",48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_GLM_deqi_vs_pain_act,Deqi vs. deqi plus sharp pain: activation network,"two sample t-test, deqi vs. deqi mixed with sharp pain, activation network",correlation_deqi,whole_brain_activation,arm_acupuncture,arm_acupuncture,"Standard voxel by voxel two sample t-test (3dttest, AFNI)",ROI,activation augmented in pain; right anterior insula activation attenuated in pain,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_deact_postCBA31_acu,"CCA deactivation network: seed postC_BA31 right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture",deactivation,seed_based_fc,arm_acupuncture,not_applicable,"Seed-based cross correlation analysis (CCA) using average time-course of seed region; band-pass filtered 0.003-0.08 Hz; global signal regression; Fisher r-to-z transformation; t-test across subjects (3dfim+, 3dttest, AFNI)",seed_based,coherent deactivation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_deact_SG25_acu,"CCA deactivation network: seed SG25 right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture",deactivation,seed_based_fc,arm_acupuncture,not_applicable,Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,seed_based,coherent deactivation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_deact_Amy_acu,"CCA deactivation network: seed amygdala right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture, amygdala seed",deactivation,seed_based_fc,arm_acupuncture,not_applicable,Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,seed_based,coherent deactivation; amygdala demonstrated weakest regional coherence among all seeds tested,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_deact_Hypo_acu,"CCA deactivation network: seed hypothalamus right, acupuncture","Seed-based cross correlation analysis, deactivation network, acupuncture, hypothalamus seed",deactivation,seed_based_fc,arm_acupuncture,not_applicable,Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,seed_based,coherent deactivation; strong coherence with orbitofrontal cortex and subgenual areas; no significant signal change or regional correlations in tactile stimulation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_act_SII_acu,"CCA activation network: seed left SII (contralateral), acupuncture vs. tactile stimulation","Seed-based cross correlation analysis, activation network, acupuncture vs. tactile stimulation",verum_gt_sham,seed_based_fc,arm_acupuncture,arm_tactile,Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,seed_based,activation; right anterior insula and antero-middle cingulate seen in acupuncture but not tactile stimulation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_CCA_act_ant_insula_acu,"CCA activation network: seed right anterior insula, acupuncture","Seed-based cross correlation analysis, activation network, right anterior insula seed, acupuncture",verum_gt_rest,seed_based_fc,arm_acupuncture,not_applicable,Seed-based CCA; band-pass filtered 0.003-0.08 Hz; global signal regression,seed_based,"positive correlations with SII, thalamus, midC, postC_BA23, BA22; negative correlations with MPFC, MPC, MTL; no significant signal change or regional correlations in tactile stimulation",48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_pICA_deact_acu,"pICA deactivation network, acupuncture","Probabilistic independent component analysis (pICA), deactivation network, acupuncture",deactivation,network_ica,arm_acupuncture,not_applicable,Probabilistic independent component analysis (pICA) by MELODIC (FSL); Tensorial ICA; band-pass filtered 0.003-0.08 Hz; global signal regressed; mixture model-based inference 0.5,whole_brain,deactivation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,con_pICA_act_acu,"pICA activation network, acupuncture","Probabilistic independent component analysis (pICA), activation network, acupuncture",verum_gt_rest,network_ica,arm_acupuncture,not_applicable,Probabilistic independent component analysis (pICA) by MELODIC (FSL); Tensorial ICA; band-pass filtered 0.003-0.08 Hz; global signal regressed,whole_brain,activation,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C1,Table 1 - Acupuncture: Deactivation Network,activation,deactivation,whole_brain_activation,Acupuncture (needle manipulation),"baseline (needle in place, rest)",activation,whole_brain,deactivation (signal decrease),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C2,Table 1 - Acupuncture: Activation Network,activation,verum_gt_rest,whole_brain_activation,Acupuncture (needle manipulation),"baseline (needle in place, rest)",activation,whole_brain,activation (signal increase),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C3,Table 1 - Tactile Stimulation: Deactivation Network,activation,verum_gt_sham,whole_brain_activation,Tactile stimulation,"baseline (needle in place, rest)",activation,whole_brain,deactivation (signal decrease),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C4,Table 1 - Tactile Stimulation: Activation Network,activation,verum_gt_sham,whole_brain_activation,Tactile stimulation,"baseline (needle in place, rest)",activation,whole_brain,activation (signal increase),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C5,Table 2A - Deqi vs Deqi+Pain: Deactivation Network,activation,correlation_deqi,whole_brain_activation,Acupuncture with deqi,Acupuncture with deqi + sharp pain,activation,whole_brain,deactivation attenuated by pain (deqi > mixed),48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19559684,19591815_C6,Table 2B - Deqi vs Deqi+Pain: Activation Network,activation,correlation_deqi,whole_brain_activation,Acupuncture with deqi,Acupuncture with deqi + sharp pain,activation,whole_brain,activation network comparison,48,Healthy volunteers (no disease condition),Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
20423216,contrast_acup1_onesample,First acupuncture stimulation (one-sample t-test),One-sample t-test: first acupuncture stimulation vs. implicit baseline,verum_gt_rest,whole_brain_activation,arm_acupuncture,not_applicable,One-sample t-test,whole_brain,positive signal change (activation),15,Healthy volunteers; no disease condition,Consecutive Acupuncture Stimulations Lead to Significantly Decreased Neural Responses
20423216,contrast_acup2_onesample,Second acupuncture stimulation (one-sample t-test),One-sample t-test: second acupuncture stimulation vs. implicit baseline,verum_gt_rest,whole_brain_activation,arm_acupuncture,not_applicable,One-sample t-test,whole_brain,positive signal change (activation),15,Healthy volunteers; no disease condition,Consecutive Acupuncture Stimulations Lead to Significantly Decreased Neural Responses
20423216,contrast_sham_onesample,Sham stimulation (one-sample t-test),One-sample t-test: sham stimulation vs. implicit baseline,sham_gt_rest,whole_brain_activation,arm_sham,not_applicable,One-sample t-test,whole_brain,positive signal change (activation),15,Healthy volunteers; no disease condition,Consecutive Acupuncture Stimulations Lead to Significantly Decreased Neural Responses
20423216,contrast_acup1_gt_acup2,1st > 2nd Acupuncture stimulation (paired-sample t-test),Paired-sample t-test: first acupuncture stimulation > second acupuncture stimulation,other,whole_brain_activation,arm_acupuncture,arm_acupuncture,Paired-sample t-test,whole_brain,1st > 2nd (areas more activated during first than second stimulation),15,Healthy volunteers; no disease condition,Consecutive Acupuncture Stimulations Lead to Significantly Decreased Neural Responses
20423216,contrast_acup1_lt_acup2,1st < 2nd Acupuncture stimulation (paired-sample t-test),Paired-sample t-test: second acupuncture stimulation > first acupuncture stimulation,other,whole_brain_activation,arm_acupuncture,arm_acupuncture,Paired-sample t-test,whole_brain,1st < 2nd (areas more activated during second than first stimulation),15,Healthy volunteers; no disease condition,Consecutive Acupuncture Stimulations Lead to Significantly Decreased Neural Responses
20838644,con_LR14_activation,LR14 verum laser > all other acupoints/control point (activation),verum laser per point > all others,other,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; verum laser per point > all others,whole_brain,activation (significant increase in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_LR14_deactivation,LR14 verum laser < all other acupoints/control point (deactivation),all others > verum laser per point,deactivation,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; all others > verum laser per point,whole_brain,deactivation (significant decrease in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_CV14_activation,CV14 verum laser > all other acupoints/control point (activation),verum laser per point > all others,other,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; verum laser per point > all others,whole_brain,activation (significant increase in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_CV14_deactivation,CV14 verum laser < all other acupoints/control point (deactivation),all others > verum laser per point,deactivation,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; all others > verum laser per point,whole_brain,deactivation (significant decrease in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_LR8_activation,LR8 verum laser > all other acupoints/control point (activation),verum laser per point > all others,other,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; verum laser per point > all others,whole_brain,activation (significant increase in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_LR8_deactivation,LR8 verum laser < all other acupoints/control point (deactivation),all others > verum laser per point,deactivation,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; all others > verum laser per point,whole_brain,deactivation (significant decrease in BOLD),10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_HT7_activation,HT7 verum laser > all other acupoints/control point (activation),verum laser per point > all others,other,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; verum laser per point > all others,whole_brain,activation,10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
20838644,con_HT7_deactivation,HT7 verum laser < all other acupoints/control point (deactivation),all others > verum laser per point,deactivation,whole_brain_activation,arm_verum,not_applicable,two-stage random effects GLM; first level: each stimulation site vs placebo (laser off); second level: ANOVA using individual subject contrast images; all others > verum laser per point,whole_brain,deactivation,10,healthy individuals (no depression or psychiatric disorder),The Brain Effects of Laser Acupuncture in Healthy Individuals: An fMRI Investigation
