pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,timepoint_raw,timepoint_class,reporting_format,value_exact,parse_method,parsed_format,mean,sd,se,median,iqr_low,iqr_high,ci_low,ci_high,count,pct,pre_mean,pre_sd,post_mean,post_sd,n_analyzed,higher_is_better,scale_min,scale_max,instrument_matched,disease_condition,healthy_volunteers,within_group_change,between_group_difference,effect_size_reported,p_value
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #2 (male, 30)",physiological,BOLD signal intensity change (%),during stimulation,during,other,+14.5,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #3 (male, 29)",physiological,BOLD signal intensity change (%),during stimulation,during,other,9.8,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #3 (male, 29)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-8.8,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #4 (male, 25)",physiological,BOLD signal intensity change (%),during stimulation,during,other,9.8,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #4 (male, 25)",physiological,BOLD signal intensity change (%),during stimulation,during,other,+6.0,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #5 (female, 27)",physiological,BOLD signal intensity change (%),during stimulation,during,other,6.5,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #5 (female, 27)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-4.7,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #6 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,8.5,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #6 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,+8.2,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #7 (male, 23)",physiological,BOLD signal intensity change (%),during stimulation,during,other,4.7,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #7 (male, 23)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-7.1,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #8 (female, 24)",physiological,BOLD signal intensity change (%),during stimulation,during,other,8.2,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #8 (female, 24)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-7.3,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #9 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,11.7,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #9 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-9.5,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #10 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,6.8,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #10 (male, 26)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-6.9,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #11 (male, 25)",physiological,BOLD signal intensity change (%),during stimulation,during,other,9.0,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #11 (male, 25)",physiological,BOLD signal intensity change (%),during stimulation,during,other,+8.0,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #12 (male, 24)",physiological,BOLD signal intensity change (%),during stimulation,during,other,7.6,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #12 (male, 24)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-6.8,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,not_applicable,,Blind test identification of yin and yang character from fMRI data,other,not_reported,post-experiment,other,narrative,Functional MRI data were then tested by blind tests for identification of the yin and yang character of each individual and were found to be consistent except in one case.,unparseable,,,,,,,,,,,,,,,,12.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
17240066,arm_CTS_baseline,verum_acupuncture,Boston CTS questionnaire; nerve conduction studies; grip strength,symptom_severity,Boston CTS questionnaire; nerve conduction studies; grip strength,before and after 5 weeks of acupuncture treatment,post,narrative,"demonstrated improvement in subjective (Boston CTS questionnaire) as well as objective (nerve conduction studies, grip strength) measures",unparseable,,,,,,,,,,,,,,,,,,,,False,Carpal Tunnel Syndrome (CTS),True,improvement in subjective and objective measures,not_reported,not_reported,not_reported
17240066,arm_CTS_baseline,verum_acupuncture,separation of somatotopic representations of digits 2 and 3 in contralateral SI (inter-digit separation distance),physiological,fMRI-derived somatotopic separation distance (mm),baseline,baseline,other,range approximately 0-9mm based on Figure 6 x-axis,unparseable,,,,,,,,,,,,,,,,10.0,,,,False,Carpal Tunnel Syndrome (CTS),True,not_reported,not_reported in this paper; described as marker of maladaptive cortical plasticity in CTS patients (Napadow et al. 2006a),not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: feeling calm,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,3.3,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: secure,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,3.3,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: relaxed,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,3.3,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: nervous,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,1.4,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: jittery,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,1.1,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: worried,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,1.1,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
20838644,not_applicable,,Spielberger State Anxiety Inventory - selected item: overexcited and rattled,mood,Spielberger State Anxiety Inventory,post-imaging (after scanning session),post,mean,1.1,unparseable,,,,,,,,,,,,,,,,10.0,False,,,True,healthy individuals (no depression or psychiatric disorder),True,not_reported,not_reported,not_reported,not_reported
21080967,not_applicable,,MASS (MGH Acupuncture Sensation Scale) total/average rating,sensory,Massachusetts General Hospital (MGH) Acupuncture Sensation Scale (MASS),after treatment (Sessions 2 and 3),post,narrative,four groups were significantly different,unparseable,,,,,,,,,,,,,,,,48.0,,,,False,Healthy volunteers; experimental pain paradigm,True,not_reported,Subjects in both low and high expectancy genuine groups reported significantly greater MASS ratings than those in both sham groups (p < 0.002); no interaction between treatment mode and expectancy level (p = 0.8),not_reported,"F(3,44) = 7.9, p = 0.0002"
22916152,arm_AD,other,MMSE,cognition,Mini-Mental State Examination,baseline,baseline,mean ± SD,15.92±4.32,regex,mean_sd,15.92,4.32,,,,,,,,,,,,,14.0,True,0.0,30.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_MCI,other,MMSE,cognition,Mini-Mental State Examination,baseline,baseline,mean ± SD,25.37±1.30,regex,mean_sd,25.37,1.3,,,,,,,,,,,,,8.0,True,0.0,30.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_NOR,healthy_control,MMSE,cognition,Mini-Mental State Examination,baseline,baseline,mean ± SD,28.00±1.41,regex,mean_sd,28.0,1.41,,,,,,,,,,,,,14.0,True,0.0,30.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_AD,other,AVLT(immediate),cognition,"Auditory verbal learning test, immediate recall of learning verbal",baseline,baseline,mean ± SD,11.35±3.95,regex,mean_sd,11.35,3.95,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_MCI,other,AVLT(immediate),cognition,"Auditory verbal learning test, immediate recall of learning verbal",baseline,baseline,mean ± SD,14.13±3.52,regex,mean_sd,14.13,3.52,,,,,,,,,,,,,8.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_NOR,healthy_control,AVLT(immediate),cognition,"Auditory verbal learning test, immediate recall of learning verbal",baseline,baseline,mean ± SD,26.86±5.24,regex,mean_sd,26.86,5.24,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_AD,other,AVLT(delayed),cognition,"Auditory verbal learning test, delayed recall of learning verbal",baseline,baseline,mean ± SD,2.64±1.59,regex,mean_sd,2.64,1.59,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_MCI,other,AVLT(delayed),cognition,"Auditory verbal learning test, delayed recall of learning verbal",baseline,baseline,mean ± SD,4.37±1.59,regex,mean_sd,4.37,1.59,,,,,,,,,,,,,8.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_NOR,healthy_control,AVLT(delayed),cognition,"Auditory verbal learning test, delayed recall of learning verbal",baseline,baseline,mean ± SD,11.07±2.76,regex,mean_sd,11.07,2.76,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_AD,other,AVLT(recognition),cognition,"Auditory verbal learning test, recognition of learning verbal",baseline,baseline,mean ± SD,3.35±1.55,regex,mean_sd,3.35,1.55,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_MCI,other,AVLT(recognition),cognition,"Auditory verbal learning test, recognition of learning verbal",baseline,baseline,mean ± SD,7.38±3.11,regex,mean_sd,7.38,3.11,,,,,,,,,,,,,8.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_NOR,healthy_control,AVLT(recognition),cognition,"Auditory verbal learning test, recognition of learning verbal",baseline,baseline,mean ± SD,12.71±2.09,regex,mean_sd,12.71,2.09,,,,,,,,,,,,,14.0,True,,,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,<0.01
22916152,arm_AD,other,CDR,cognition,Clinical Dementia Rating,baseline,baseline,other,1–2,unparseable,,,,,,,,,,,,,,,,14.0,False,0.0,3.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,not_reported
22916152,arm_MCI,other,CDR,cognition,Clinical Dementia Rating,baseline,baseline,other,0.5,unparseable,,,,,,,,,,,,,,,,8.0,False,0.0,3.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,not_reported
22916152,arm_NOR,healthy_control,CDR,cognition,Clinical Dementia Rating,baseline,baseline,other,0,unparseable,,,,,,,,,,,,,,,,14.0,False,0.0,3.0,True,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,not_reported
22916152,arm_AD,other,"Age, years",other,not_reported,baseline,baseline,mean ± SD,66.92±8.91,regex,mean_sd,66.92,8.91,,,,,,,,,,,,,14.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.96
22916152,arm_MCI,other,"Age, years",other,not_reported,baseline,baseline,mean ± SD,66.37±10.96,regex,mean_sd,66.37,10.96,,,,,,,,,,,,,8.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.96
22916152,arm_NOR,healthy_control,"Age, years",other,not_reported,baseline,baseline,mean ± SD,66.07±5.78,regex,mean_sd,66.07,5.78,,,,,,,,,,,,,14.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.96
22916152,arm_AD,other,"Education, years",other,not_reported,baseline,baseline,mean ± SD,10.07±3.38,regex,mean_sd,10.07,3.38,,,,,,,,,,,,,14.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.82
22916152,arm_MCI,other,"Education, years",other,not_reported,baseline,baseline,mean ± SD,10.62±3.54,regex,mean_sd,10.62,3.54,,,,,,,,,,,,,8.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.82
22916152,arm_NOR,healthy_control,"Education, years",other,not_reported,baseline,baseline,mean ± SD,11.00±4.52,regex,mean_sd,11.0,4.52,,,,,,,,,,,,,14.0,,,,False,Mild Cognitive Impairment (MCI) and Alzheimer Disease (AD),True,not_reported,not_reported,not_reported,0.82
23152865,arm_A,verum_acupuncture,Credibility score QB (How confident are you that this treatment can alleviate your complaint?),other,0–6 Likert scale credibility rating,before scanning (before treatment),baseline,p_value_only,not_reported,unparseable,,,,,,,,,,,,,,,,,False,,,True,myopia,False,not_reported,P value (χ²) Group A vs Group C: 0.42,not_reported,0.42
23152865,arm_A,verum_acupuncture,Credibility score QA (How confident would you be in recommending this treatment to a friend who suffered from the same complaint?),other,0–6 Likert scale credibility rating,after treatment,post,p_value_only,not_reported,unparseable,,,,,,,,,,,,,,,,,False,,,True,myopia,False,not_reported,P value (χ²) Group A vs Group C: 0.56,not_reported,0.56
23152865,arm_A arm_B,,Needling sensation scores (combined RA: Groups A and B),sensory,needle sensation questionnaire (NSQ); range 0–75,after scanning,other,mean ± SD | mean (95% CI),Mean (SD) 13.75 (7.23); 95% CI 6.45–18.35,unparseable,,,,,,,,,,,,,,,,22.0,,,,False,myopia,False,not_reported,RA did elicit significantly different sensations from SA,not_reported,not_reported
23152865,arm_C arm_D,,Needling sensation scores (combined SA: Groups C and D),sensory,needle sensation questionnaire (NSQ); range 0–75,after scanning,other,mean ± SD | mean (95% CI),Mean (SD) 3.97 (4.35); 95% CI 2.57–7.38,unparseable,,,,,,,,,,,,,,,,19.0,,,,False,myopia,False,not_reported,RA did elicit significantly different sensations from SA,not_reported,not_reported
23316257,arm_acupuncture,verum_acupuncture,Correlation of VAS index with number of activations/deactivations,sensory,VAS index,not_reported,other,p_value_only,No direct correlations shown between VAS index and number of activations or deactivations; all P > 0.05,unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,all P > 0.05
23316257,arm_acupuncture,verum_acupuncture,Correlation of VAS index with AVER-WR-RV R-value,sensory,VAS index,not_reported,other,p_value_only,No direct correlations shown between VAS index and the 'AVER-WR-RV R-value'; all P > 0.05,unparseable,,,,,,,,,,,,,,,,,False,0.0,10.0,True,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,all P > 0.05
24459533,arm_FD,verum_acupuncture,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Baseline (pre-acupuncture),baseline,mean ± SD,16.17 ± 5.28,regex,mean_sd,16.17,5.28,,,,,,,,,,,,,18.0,,,,False,Functional diarrhea (FD),True,not_reported,"significantly more frequent defecations vs HC, P = 0.000",not_reported,0.000
24459533,arm_FD,verum_acupuncture,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Post-acupuncture (end of week 2),post,mean ± SD,9.78 ± 3.75,regex,mean_sd,9.78,3.75,,,,,,,,,,,,,18.0,,,,False,Functional diarrhea (FD),True,decreased from 16.17 ± 5.28 to 9.78 ± 3.75,not_reported,not_reported,0.000
24459533,arm_HC,healthy_control,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Baseline (pre-acupuncture),baseline,mean ± SD,6.92 ± 0.81,regex,mean_sd,6.92,0.81,,,,,,,,,,,,,18.0,,,,False,Functional diarrhea (FD),True,not_reported,"significantly less frequent defecations vs FD, P = 0.000",not_reported,0.000
24459533,arm_HC,healthy_control,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Post-acupuncture (end of week 2),post,mean ± SD,7.16 ± 0.99,regex,mean_sd,7.16,0.99,,,,,,,,,,,,,18.0,,,,False,Functional diarrhea (FD),True,not significant,not_reported,not_reported,0.144
24459533,arm_FD,verum_acupuncture,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Baseline (pre-acupuncture),baseline,mean ± SD,5.58 ± 0.63,regex,mean_sd,5.58,0.63,,,,,,,,,,,,,18.0,,,,True,Functional diarrhea (FD),True,not_reported,"significantly higher BSFS score vs HC, P = 0.000",not_reported,0.000
24459533,arm_FD,verum_acupuncture,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Post-acupuncture (end of week 2),post,mean ± SD,4.75 ± 0.52,regex,mean_sd,4.75,0.52,,,,,,,,,,,,,18.0,,,,True,Functional diarrhea (FD),True,decreased from 5.58 ± 0.63 to 4.75 ± 0.52,not_reported,not_reported,0.001
24459533,arm_HC,healthy_control,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Baseline (pre-acupuncture),baseline,mean ± SD,4.03 ± 0.21,regex,mean_sd,4.03,0.21,,,,,,,,,,,,,18.0,,,,True,Functional diarrhea (FD),True,not_reported,"significantly lower BSFS score vs FD, P = 0.000",not_reported,0.000
24459533,arm_HC,healthy_control,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Post-acupuncture (end of week 2),post,mean ± SD,4.00 ± 0.19,regex,mean_sd,4.0,0.19,,,,,,,,,,,,,18.0,,,,True,Functional diarrhea (FD),True,not significant,not_reported,not_reported,0.858
24459533,arm_FD,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Baseline (pre-acupuncture),baseline,mean ± SD,51.41 ± 6.84,regex,mean_sd,51.41,6.84,,,,,,,,,,,,,18.0,True,0.0,100.0,True,Functional diarrhea (FD),True,not_reported,"significantly lower PCS score vs HC, P = 0.000",not_reported,0.000
24459533,arm_FD,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Post-acupuncture (end of week 2),post,mean ± SD,53.37 ± 4.94,regex,mean_sd,53.37,4.94,,,,,,,,,,,,,18.0,True,0.0,100.0,True,Functional diarrhea (FD),True,not significant,not_reported,not_reported,0.085
24459533,arm_HC,healthy_control,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Baseline (pre-acupuncture),baseline,mean ± SD,57.90 ± 1.45,regex,mean_sd,57.9,1.45,,,,,,,,,,,,,18.0,True,0.0,100.0,True,Functional diarrhea (FD),True,not_reported,"significantly higher PCS score vs FD, P = 0.000",not_reported,0.000
