pmid,arm_id,arm_label,arm_type,outcome_measure,outcome_domain,scale_name,timepoint,reporting_format,value,n_analyzed,within_group_change,between_group_difference,effect_size_reported,statistical_test,p_value,analysis_population,disease_condition
12098499,arm_FD,Functional diarrhea,verum_acupuncture,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Baseline (pre-acupuncture),mean ± SD,45.7 ± 10.78,18.0,not_reported,"significantly lower MCS score vs HC, P = 0.006",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.006,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Post-acupuncture (end of week 2),mean ± SD,45.01 ± 7.75,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.711,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Baseline (pre-acupuncture),mean ± SD,54.47 ± 4.54,18.0,not_reported,"significantly higher MCS score vs FD, P = 0.006",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.006,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Post-acupuncture (end of week 2),mean ± SD,55.07 ± 3.99,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.751,not_reported,Functional diarrhea (FD)
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,tinnitus disturbance inventory (TDI),symptom_severity,tinnitus disturbance inventory (TDI),pre vs post acupuncture,mean ± SD,Pre-acupuncture: 3.07 + 0.51; Post-acupuncture: 2.43 + 0.36,14.0,"Z = -2.251, P = 0.024",not_applicable,not_reported,Wilcoxon-Signed-Rank test,P = 0.024,14 chronic tinnitus patients who completed 12 sessions,chronic tinnitus
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,visual analog scales (VAS),symptom_severity,visual analog scales (VAS),pre vs post acupuncture,mean ± SD,Pre-acupuncture: 5.64 + 0.59; Post-acupuncture: 4.50 + 0.50,14.0,"T = -3.040, P = 0.009",not_applicable,not_reported,paired Student's t-test,P = 0.009,14 chronic tinnitus patients who completed 12 sessions,chronic tinnitus
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,tinnitus handicap inventory (THI),symptom_severity,tinnitus handicap inventory (THI),pre vs post acupuncture,mean ± SD,Pre-acupuncture: 52.00 + 7.14; Post-acupuncture: 46.71 + 7.25,14.0,"T = -1.352, P = 0.199",not_applicable,not_reported,paired Student's t-test,P = 0.199,14 chronic tinnitus patients who completed 12 sessions,chronic tinnitus
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,Khalfa hyperacusis questionnaire (KHQ),symptom_severity,Khalfa hyperacusis questionnaire (KHQ),pre vs post acupuncture,mean ± SD,Pre-acupuncture: 48.43 + 6.17; Post-acupuncture: 43.36 + 5.95,14.0,"T = -1.533, P = 0.149",not_applicable,not_reported,paired Student's t-test,P = 0.149,14 chronic tinnitus patients who completed 12 sessions,chronic tinnitus
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,Left ear hearing threshold,physiological,pure tone audiometry,pre vs post acupuncture,mean ± SD,Pre-acupuncture: 30.45 + 3.96 dB/SPL; Post-acupuncture: 29.89 + 3.30 dB/SPL,11.0,"T = -0.429, P = 0.677",not_applicable,not_reported,paired Student's t-test,P = 0.677,11 chronic tinnitus patients with hearing level data,chronic tinnitus
12202090,arm_tinnitus,chronic tinnitus patients,verum_acupuncture,Right ear hearing threshold,physiological,pure tone audiometry,pre vs post acupuncture,mean ± SD,Pre-acupuncture: 38.21 + 7.63 dB/SPL; Post-acupuncture: 39.25 + 6.78 dB/SPL,11.0,"T = 0.599, P = 0.562",not_applicable,not_reported,paired Student's t-test,P = 0.562,11 chronic tinnitus patients with hearing level data,chronic tinnitus
15193624,AG,acupuncture group (AG),verum_acupuncture,response rate,responder,NRS-based response rate (decrease of more than 2 points on the NRS at week 4 compared with baseline),week 4,count,23 (85.2%),27.0,not_reported,"AG vs. SG: ES=0.770, P=0.010; SG vs. WG: ES=0.883, P=0.006",ES=0.770 (AG vs. SG),Chi-square test (X2=24.903),overall P<0.001,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,response rate,responder,NRS-based response rate (decrease of more than 2 points on the NRS at week 4 compared with baseline),week 4,count,13 (52%),25.0,not_reported,"SG vs. WG: ES=0.883, P=0.006",ES=0.883 (SG vs. WG),Chi-square test (X2=24.903),overall P<0.001,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,response rate,responder,NRS-based response rate (decrease of more than 2 points on the NRS at week 4 compared with baseline),week 4,count,3 (13.64%),22.0,not_reported,not_reported,not_reported,Chi-square test (X2=24.903),overall P<0.001,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,NRS score,pain,numerical rating scale (NRS),week 0 (baseline),median [IQR],"6.00(5.00, 7.00)",27.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,NRS score,pain,numerical rating scale (NRS),week 4 (post-treatment),median [IQR],"3.00(2.00, 5.00)",27.0,"ES=0.733, P<0.001","AG vs. SG: ES=0.900, P=0.002",ES=0.733 (within group),Nonparametric tests: Wilcoxon-W (within group); Mann-Whitney-U (between group),within group P<0.001; AG vs SG P=0.002,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,NRS score,pain,numerical rating scale (NRS),week 0 (baseline),median [IQR],"5.00(4.50, 7.00)",25.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,NRS score,pain,numerical rating scale (NRS),week 4 (post-treatment),median [IQR],"4.00(2.50, 5.00)",25.0,"ES=0.643, P<0.001","SG vs. WG: ES=1.064, P=0.001",ES=0.643 (within group),Nonparametric tests: Wilcoxon-W (within group); Mann-Whitney-U (between group),within group P<0.001; SG vs WG P=0.001,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,NRS score,pain,numerical rating scale (NRS),week 0 (baseline),median [IQR],"5.00(4.00, 6.00)",22.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,NRS score,pain,numerical rating scale (NRS),week 4 (post-observation),mean ± SD,4.82(1.71),22.0,"ES=0.073, P=0.205",not_reported,ES=0.073 (within group),Nonparametric tests: Wilcoxon-W,0.205,not_reported,knee osteoarthritis (KOA)
15193624,not_applicable,,,NRS score between-group comparison,pain,numerical rating scale (NRS),week 4,p_value_only,not_reported,74.0,not_reported,"H=28.058, P<0.001; after controlling for baseline NRS, F=17.286, P<0.001",not_reported,Kruskal-Wallis (H=28.058); ANCOVA (F=17.286),P<0.001,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 0 (baseline),median [IQR],"19.00(15.00, 23.00)",27.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 4 (post-treatment),mean ± SD,12.56(5.60),27.0,"ES=0.984, P<0.001; change score: -7.44 (9.51)","AG vs. SG: ES=-0.025, P=0.929; SG vs. WG: ES=-0.822, P=0.008",ES=0.984 (within group),Nonparametric tests: Wilcoxon-W (within group); two sample t-test (between group),within group P<0.001; AG vs SG P=0.929,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 0 (baseline),median [IQR],"19.00(12.50, 26.50)",25.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 4 (post-treatment),median [IQR],"13.00(9.50, 20.00)",25.0,"ES=0.697, P=0.002; change score: -7.20 (10.21)","SG vs. WG: ES=-0.822, P=0.008",ES=0.697 (within group),Nonparametric tests: Wilcoxon-W (within group); two sample t-test (between group),within group P=0.002; SG vs WG P=0.008,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 0 (baseline),mean ± SD,16.32(6.48),22.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,WOMAC score,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 4 (post-observation),mean ± SD,15.59(6.97),22.0,"ES=0.108, P=0.501; change score: -0.73 (4.98)",not_reported,ES=0.108 (within group),paired t-test,0.501,not_reported,knee osteoarthritis (KOA)
15193624,not_applicable,,,WOMAC score between-group comparison,function,Western Ontario and McMaster Osteoarthritis Index (WOMAC),week 4,p_value_only,not_reported,74.0,not_reported,"H=10.193, P=0.006",not_reported,Kruskal-Wallis,0.006,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 0 (baseline),median [IQR],"30.00(28.00, 35.00)",27.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,AG,acupuncture group (AG),verum_acupuncture,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 4 (post-treatment),median [IQR],"30.00(26.00, 35.00)",27.0,"ES=0.266, P=0.183; change score: -1.96 (7.46)","AG vs. SG: ES=-0.259, P=0.356",ES=0.266 (within group),Nonparametric tests: Wilcoxon-W (within group); two sample t-test (between group),0.183,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 0 (baseline),mean ± SD,32.36(6.47),25.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,SG,sham acupuncture group (SG),sham_acupuncture,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 4 (post-treatment),mean ± SD,32.04(5.68),25.0,"ES=0.052, P=0.746; change score: -0.32 (4.88)","SG vs. WG: ES=-0.121, P=0.681",ES=0.052 (within group),paired t-test (within group); two sample t-test (between group),0.746,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 0 (baseline),mean ± SD,31.77(6.02),22.0,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,knee osteoarthritis (KOA)
15193624,WG,waiting list group (WG),waitlist,STAI-S score,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 4 (post-observation),mean ± SD,32.00(3.70),22.0,"ES=-0.040, P=0.797; change score: 0.23 (4.09)",not_reported,ES=-0.040 (within group),paired t-test,0.797,not_reported,knee osteoarthritis (KOA)
15193624,not_applicable,,,STAI-S score between-group comparison,mood,State-Trait Anxiety Scale-State Anxiety Subscale (STAI-S),week 4,p_value_only,not_reported,74.0,not_reported,"F=0.979, P=0.381",not_reported,One-Way ANOVA,0.381,not_reported,knee osteoarthritis (KOA)
15499576,AG,acupuncture group (AG),verum_acupuncture,VAS for leg pain,pain,visual analog scale (VAS) for leg pain,4-week minus baseline,mean ± SD,not_reported,25.0,-32.08 (16.94),"AG vs SG: Cohen d = -.901, P = .003",Cohen d = -.901,2-sample t-test,.003,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,VAS for leg pain,pain,visual analog scale (VAS) for leg pain,4-week minus baseline,mean ± SD,not_reported,25.0,-14.64 (21.51),"AG vs SG: Cohen d = -.901, P = .003",Cohen d = -.901,2-sample t-test,.003,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,ODI (oswestry disability index),function,Oswestry Disability Index (ODI),4-week minus baseline,mean ± SD,not_reported,25.0,-11.29 (12.69),"AG vs SG: Cohen d = -.678, P = .021",Cohen d = -.678,2-sample t-test,.021,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,ODI (oswestry disability index),function,Oswestry Disability Index (ODI),4-week minus baseline,mean ± SD,not_reported,25.0,-2.88 (12.12),"AG vs SG: Cohen d = -.678, P = .021",Cohen d = -.678,2-sample t-test,.021,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,VAS for back pain,pain,visual analog scale (VAS) for back pain,4-week minus baseline,mean ± SD,not_reported,25.0,-25.12 (17.89),"AG vs SG: Cohen d = -.645, P = .027",Cohen d = -.645,2-sample t-test,.027,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,VAS for back pain,pain,visual analog scale (VAS) for back pain,4-week minus baseline,mean ± SD,not_reported,25.0,-11.72 (23.30),"AG vs SG: Cohen d = -.645, P = .027",Cohen d = -.645,2-sample t-test,.027,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SFBI for frequency,symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - frequency domain,4-week minus baseline,mean ± SD,not_reported,25.0,-6.92 (5.74),"AG vs SG: Cohen d = -.767, P = .009",Cohen d = -.767,2-sample t-test,.009,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SFBI for frequency,symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - frequency domain,4-week minus baseline,mean ± SD,not_reported,25.0,-2.40 (6.04),"AG vs SG: Cohen d = -.767, P = .009",Cohen d = -.767,2-sample t-test,.009,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SFBI for bothersomeness,symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - bothersomeness domain,4-week minus baseline,mean ± SD,not_reported,25.0,-6.52 (5.51),"AG vs SG: Cohen d = -.955, P = .001",Cohen d = -.955,2-sample t-test,.001,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SFBI for bothersomeness,symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - bothersomeness domain,4-week minus baseline,mean ± SD,not_reported,25.0,-1.32 (5.38),"AG vs SG: Cohen d = -.955, P = .001",Cohen d = -.955,2-sample t-test,.001,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,VAS for leg pain (baseline),pain,visual analog scale (VAS) for leg pain,baseline,median [IQR],"50.00 (45.00, 71.50)",25.0,not_reported,P = .366,not_reported,nonparametric tests: Mann-Whitney U,.366,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,VAS for leg pain (baseline),pain,visual analog scale (VAS) for leg pain,baseline,median [IQR],"50.00 (45.00, 58.00)",25.0,not_reported,P = .366,not_reported,nonparametric tests: Mann-Whitney U,.366,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,VAS for back pain (baseline),pain,visual analog scale (VAS) for back pain,baseline,median [IQR],"52.00 (44.50, 65.00)",25.0,not_reported,P = .580,not_reported,nonparametric tests: Mann-Whitney U,.580,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,VAS for back pain (baseline),pain,visual analog scale (VAS) for back pain,baseline,mean ± SD,53.84 (16.13),25.0,not_reported,P = .580,not_reported,nonparametric tests: Mann-Whitney U,.580,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,ODI (baseline),function,Oswestry Disability Index (ODI),baseline,mean ± SD,26.67 (13.03),25.0,not_reported,P = .245,not_reported,two-sample t-test,.245,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,ODI (baseline),function,Oswestry Disability Index (ODI),baseline,mean ± SD,22.48 (12.16),25.0,not_reported,P = .245,not_reported,two-sample t-test,.245,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SFBI for frequency (baseline),symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - frequency,baseline,mean ± SD,14.12 (4.79),25.0,not_reported,P = .193,not_reported,two-sample t-test,.193,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SFBI for frequency (baseline),symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - frequency,baseline,mean ± SD,12.44 (4.18),25.0,not_reported,P = .193,not_reported,two-sample t-test,.193,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SFBI for bothersomeness (baseline),symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - bothersomeness,baseline,mean ± SD,12.28 (4.42),25.0,not_reported,P = .291,not_reported,two-sample t-test,.291,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SFBI for bothersomeness (baseline),symptom_severity,Sciatica Frequency and Bothersomeness Index (SFBI) - bothersomeness,baseline,mean ± SD,11.00 (4.05),25.0,not_reported,P = .291,not_reported,two-sample t-test,.291,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SF-36 for physical (baseline),quality_of_life,36-item Short Form Health Survey (SF-36) - physical component score,baseline,mean ± SD,36.76 (10.80),25.0,not_reported,P = .304,not_reported,two-sample t-test,.304,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SF-36 for physical (baseline),quality_of_life,36-item Short Form Health Survey (SF-36) - physical component score,baseline,mean ± SD,39.96 (10.97),25.0,not_reported,P = .304,not_reported,two-sample t-test,.304,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,SF-36 for mental (baseline),quality_of_life,36-item Short Form Health Survey (SF-36) - mental component score,baseline,mean ± SD,51.22 (12.89),25.0,not_reported,P = .718,not_reported,two-sample t-test,.718,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,SF-36 for mental (baseline),quality_of_life,36-item Short Form Health Survey (SF-36) - mental component score,baseline,mean ± SD,49.98 (11.10),25.0,not_reported,P = .718,not_reported,two-sample t-test,.718,not_reported,chronic sciatica (chronic neuropathic pain)
15499576,AG,acupuncture group (AG),verum_acupuncture,correlation between actual 4-week ODI values and SVR-predicted 4-week ODI values,function,Oswestry Disability Index (ODI),4-week ODI predicted from baseline features,other,"r = .420, P = .037, RMSE = 9.298",25.0,not_reported,not_reported,not_reported,Pearson correlation between predicted and actual values,.037,AG (n = 25),chronic sciatica (chronic neuropathic pain)
15499576,SG,sham acupuncture group (SG),sham_acupuncture,correlation between actual 4-week ODI values and SVR-predicted 4-week ODI values in SG (same features as AG model),function,Oswestry Disability Index (ODI),4-week ODI,other,"r = .218, P = .300, RMSE = 13.586",25.0,not_reported,not_reported,not_reported,Pearson correlation between predicted and actual values,.300,SG (n = 25),chronic sciatica (chronic neuropathic pain)
15499576,all_arms,,,pain medication usage during 4-week observation period,medication_use,not_reported,4-week observation period,narrative,No patient reported pain medication usage during the 4-week observation period in this study,60.0,not_reported,not_reported,not_reported,not_reported,not_reported,all 60 patients,chronic sciatica (chronic neuropathic pain)
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Hamilton Rating Scale for Depression (17 item version),symptom_severity,HRSD-17,baseline (enrollment),mean ± SD,13.10± 2.22 (10–16),20.0,not_reported,not_reported,not_reported,not_reported,not_reported,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Visual Analogue Scale (VAS) for acupuncture sensation of soreness,sensory,VAS,after the experiment finished,mean ± SD,3.70±1.56 (1–6),20.0,not_reported,not_reported,not_reported,not_reported,not_reported,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between HRSD-17 scores and ReHo of right angular gyrus in Phase I,symptom_severity,HRSD-17,Phase I (baseline),other,"r = 0.447, p = 0.048",20.0,not_reported,not_reported,r = 0.447,Pearson correlation,0.048,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between VAS scores and ReHo of right postcentral gyri in Phase III,sensory,VAS,Phase III,other,"r = 0.456, p = 0.024",20.0,not_reported,not_reported,r = 0.456,Pearson correlation,0.024,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between VAS scores and ReHo of left postcentral gyri in Phase III,sensory,VAS,Phase III,other,"r = 0.590, p = 0.009",20.0,not_reported,not_reported,r = 0.590,Pearson correlation,0.009,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between VAS scores and ReHo of right posterior cingulate cortex in Phase III,sensory,VAS,Phase III,other,"r = −0.501, p = 0.024",20.0,not_reported,not_reported,r = −0.501,Pearson correlation,0.024,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between VAS scores and ReHo of right angular gyrus in Phase III,sensory,VAS,Phase III,other,"r = −0.516, p = 0.02",20.0,not_reported,not_reported,r = −0.516,Pearson correlation,0.02,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between VAS scores and ReHo of right precuneus in Phase III,sensory,VAS,Phase III,other,"r = −0.501, p = 0.024",20.0,not_reported,not_reported,r = −0.501,Pearson correlation,0.024,20 subjects finally included,mild depression
15825843,arm_EA,postgraduate students with mild depression receiving electroacupuncture at GV20,verum_acupuncture,Correlation between HRSD-17 scores and ReHo of right postcentral gyri in Phase III,symptom_severity,HRSD-17,Phase III,other,"r = 0.679, p = 0.001",20.0,not_reported,not_reported,r = 0.679,Pearson correlation,0.001,20 subjects finally included,mild depression
