pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,baseline_mean,baseline_sd,post_mean,n,higher_is_better,g_raw,g_corrected,source,disease_condition
26839078,WT,waitlist,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.66,1.0102040816326534,5.72,16,False,-0.0594,-0.0564,paired_timepoints,Migraine without aura (MwoA)
26839078,WT,waitlist,SAS score,mood,self-rating anxiety scale (SAS),46.81,10.806122448979588,41.64,16,False,0.4784,0.4541,paired_timepoints,Migraine without aura (MwoA)
26839078,WT,waitlist,SDS score,mood,self-rating depression scale (SDS),47.34,9.928571428571432,41.25,16,False,0.6134,0.5822,paired_timepoints,Migraine without aura (MwoA)
27688791,arm_LR3,verum_acupuncture,Bodily pain (BP),quality_of_life,SF-36,79.07,14.85,80.14,14,True,0.0721,0.0678,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,General health (GH),quality_of_life,SF-36,50.64,14.05,52.5,14,True,0.1324,0.1246,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Mental health (MH),quality_of_life,SF-36,68.86,14.98,66.29,14,True,-0.1716,-0.1615,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Physical domain (PHD),quality_of_life,QLICD-HY,69.65,10.5,67.41,14,True,-0.2133,-0.2008,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Physical functioning (PF),quality_of_life,SF-36,85.71,12.69,84.29,14,True,-0.1119,-0.1053,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Psychological domain (PSD),quality_of_life,QLICD-HY,79.55,14.21,81.98,14,True,0.171,0.1609,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Role emotional (RE),quality_of_life,SF-36,73.81,35.03,76.19,14,True,0.0679,0.0639,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Role physical (RP),quality_of_life,SF-36,75.0,36.69,76.78,14,True,0.0485,0.0457,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Social domain (SOD),quality_of_life,QLICD-HY,78.9,13.61,77.43,14,True,-0.108,-0.1017,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Social functioning (SF),quality_of_life,SF-36,82.54,15.54,89.68,14,True,0.4595,0.4324,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Specific domain (SPD),quality_of_life,QLICD-HY,68.8,14.69,75.1,14,True,0.4289,0.4036,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Total (TOT),quality_of_life,QLICD-HY,73.82,11.7,75.94,14,True,0.1812,0.1705,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_LR3,verum_acupuncture,Vitality (VI),quality_of_life,SF-36,68.21,18.57,67.86,14,True,-0.0188,-0.0177,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_sham,sham_acupuncture,Physical domain (PHD),quality_of_life,QLICD-HY,73.22,14.44,77.9,14,True,0.3241,0.305,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_sham,sham_acupuncture,Psychological domain (PSD),quality_of_life,QLICD-HY,76.14,16.84,86.36,14,True,0.6069,0.5712,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_sham,sham_acupuncture,Social domain (SOD),quality_of_life,QLICD-HY,65.42,16.97,72.73,14,True,0.4308,0.4054,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_sham,sham_acupuncture,Specific domain (SPD),quality_of_life,QLICD-HY,73.21,12.6,73.31,14,True,0.0079,0.0075,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27688791,arm_sham,sham_acupuncture,Total (TOT),quality_of_life,QLICD-HY,71.66,13.08,79.18,14,True,0.5749,0.5411,paired_timepoints,"Essential hypertension (mild or moderate arterial hypertension, grade 1 or 2)"
27812501,arm_sham,sham_acupuncture,Montgomery-Asberg depression rating scale (MADRS),symptom_severity,Montgomery-Asberg depression rating scale (MADRS),22.83,9.17,14.06,18,False,0.9564,0.9136,paired_timepoints,Major depressive disorder (MDD)
27812501,arm_sham,sham_acupuncture,Self-Rating Depression Scale (SDS),symptom_severity,Self-Rating Depression Scale (SDS),47.44,9.23,34.94,18,False,1.3543,1.2936,paired_timepoints,Major depressive disorder (MDD)
27812501,arm_verum,verum_acupuncture,Montgomery-Asberg depression rating scale (MADRS),symptom_severity,Montgomery-Asberg depression rating scale (MADRS),22.94,7.36,5.44,18,False,2.3777,2.2713,paired_timepoints,Major depressive disorder (MDD)
27812501,arm_verum,verum_acupuncture,Self-Rating Depression Scale (SDS),symptom_severity,Self-Rating Depression Scale (SDS),47.833,6.46,26.83,18,False,3.2512,3.1057,paired_timepoints,Major depressive disorder (MDD)
27857211,EA,verum_acupuncture,Crohn's Disease Activity Index (CDAI),symptom_severity,Crohn's Disease Activity Index (CDAI),76.17,40.11,48.06,16,False,0.7008,0.6652,paired_timepoints,Crohn's disease (remission period)
27857211,EA,verum_acupuncture,Inflammatory Bowel Disease Questionnaire (IBDQ),quality_of_life,Inflammatory Bowel Disease Questionnaire (IBDQ),170.83,22.72,188.11,16,True,0.7606,0.7219,paired_timepoints,Crohn's disease (remission period)
27857211,Mox,verum_acupuncture,Crohn's Disease Activity Index (CDAI),symptom_severity,Crohn's Disease Activity Index (CDAI),71.78,42.93,40.56,18,False,0.7272,0.6947,paired_timepoints,Crohn's disease (remission period)
27857211,Mox,verum_acupuncture,Inflammatory Bowel Disease Questionnaire (IBDQ),quality_of_life,Inflammatory Bowel Disease Questionnaire (IBDQ),174.78,33.1,190.78,18,True,0.4834,0.4617,paired_timepoints,Crohn's disease (remission period)
29204113,arm_ea,verum_acupuncture,CDAI (Crohn's disease activity index),symptom_severity,CDAI,78.28,40.95,51.53,18,False,0.6532,0.624,paired_timepoints,Crohn's disease (CD) in remission
29204113,arm_ea,verum_acupuncture,IBDQ (inflammatory bowel disease questionnaire),quality_of_life,IBDQ,171.72,20.17,187.18,18,True,0.7665,0.7322,paired_timepoints,Crohn's disease (CD) in remission
29204113,arm_moxa,verum_acupuncture,CDAI (Crohn's disease activity index),symptom_severity,CDAI,71.85,40.84,40.9,20,False,0.7578,0.7275,paired_timepoints,Crohn's disease (CD) in remission
29204113,arm_moxa,verum_acupuncture,IBDQ (inflammatory bowel disease questionnaire),quality_of_life,IBDQ,176.1,32.23,192.05,20,True,0.4949,0.4751,paired_timepoints,Crohn's disease (CD) in remission
29563830,contra_group,verum_acupuncture,Function (CMS),function,Constant–Murley score (CMS); 0–100 points,50.67,9.94,66.33,12,True,1.5755,1.4655,paired_timepoints,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain
29563830,contra_group,verum_acupuncture,Pain intensity (VAS),pain,visual analog scale (VAS); 0–100 mm,67.92,16.16,47.5,12,False,1.2636,1.1755,paired_timepoints,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain
29563830,ipsi_group,verum_acupuncture,Function (CMS),function,Constant–Murley score (CMS); 0–100 points,56.88,16.69,61.38,8,True,0.2696,0.2397,paired_timepoints,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain
29563830,ipsi_group,verum_acupuncture,Pain intensity (VAS),pain,visual analog scale (VAS); 0–100 mm,60.63,7.29,51.88,8,False,1.2003,1.0669,paired_timepoints,Unilateral chronic shoulder pain (CSP); left-sided shoulder pain
29951105,arm_A,verum_acupuncture,modified Barthel Index (MBI) score,function,modified Barthel Index (MBI),32.386,13.153970820320254,44.9,11,True,0.9513,0.8782,paired_timepoints,Ischemic stroke
29951105,arm_B,usual_care,modified Barthel Index (MBI) score,function,modified Barthel Index (MBI),32.98,10.643645777617756,38.3,10,True,0.4998,0.457,paired_timepoints,Ischemic stroke
30034336,SAG,sham_acupuncture,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",0.56,0.32,0.58,12,False,-0.0625,-0.0581,paired_timepoints,Parkinson's disease with tremor
30034336,SAG,sham_acupuncture,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",0.79,0.58,0.75,12,False,0.069,0.0642,paired_timepoints,Parkinson's disease with tremor
30034336,SAG,sham_acupuncture,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),0.52,0.54,0.5,12,False,0.037,0.0345,paired_timepoints,Parkinson's disease with tremor
30034336,SAG,sham_acupuncture,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),0.92,0.49,0.9,12,False,0.0408,0.038,paired_timepoints,Parkinson's disease with tremor
30034336,SAG,sham_acupuncture,UPDRS II score,function,UPDRS II,11.25,4.58,10.33,12,False,0.2009,0.1869,paired_timepoints,Parkinson's disease with tremor
30034336,SAG,sham_acupuncture,UPDRS III score,symptom_severity,UPDRS III,19.5,8.49,19.25,12,False,0.0294,0.0274,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",0.84,0.75,0.71,14,False,0.1733,0.1631,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",0.88,0.45,0.82,14,False,0.1333,0.1255,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),0.89,0.82,0.76,14,False,0.1585,0.1492,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),1.17,0.52,0.85,14,False,0.6154,0.5792,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,UPDRS II score,function,"UPDRS II (Unified Parkinson's Disease Rating Scale, part II)",12.64,5.98,9.0,14,False,0.6087,0.5729,paired_timepoints,Parkinson's disease with tremor
30034336,TAG,verum_acupuncture,UPDRS III score,symptom_severity,"UPDRS III (Unified Parkinson's Disease Rating Scale, part III)",26.0,15.07,21.64,14,False,0.2893,0.2723,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,Hypokinesia score,symptom_severity,"UPDRS III hypokinesia score (items 23, 24, 25, 26, 31)",0.85,0.53,0.91,11,False,-0.1132,-0.1045,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,PIGD score,symptom_severity,"UPDRS III postural instability/gait disorder (PIGD) score (items 27, 28, 29, 30)",0.82,0.66,0.82,11,False,-0.0,-0.0,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,Rigidity score,symptom_severity,UPDRS III rigidity score (item 22),0.71,0.72,0.8,11,False,-0.125,-0.1154,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,Tremor score,symptom_severity,UPDRS III tremor score (items 20 and 21),1.12,0.62,1.31,11,False,-0.3065,-0.2829,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,UPDRS II score,function,UPDRS II,11.09,6.58,12.27,11,False,-0.1793,-0.1655,paired_timepoints,Parkinson's disease with tremor
30034336,WG,waitlist,UPDRS III score,symptom_severity,UPDRS III,24.36,14.07,26.73,11,False,-0.1684,-0.1555,paired_timepoints,Parkinson's disease with tremor
32807158,M_Acu,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),13.26,4.21,5.91,43,False,1.7458,1.7145,paired_timepoints,Primary insomnia (PI)
32807158,M_Acu,verum_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),14.84,2.77,8.49,43,False,2.2924,2.2512,paired_timepoints,Primary insomnia (PI)
32807158,N_Acu,sham_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),13.56,4.48,8.88,43,False,1.0446,1.0259,paired_timepoints,Primary insomnia (PI)
32807158,N_Acu,sham_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),15.21,2.95,11.6,43,False,1.2237,1.2017,paired_timepoints,Primary insomnia (PI)
32807158,S_Acu,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),12.4,3.14,7.0,43,False,1.7197,1.6889,paired_timepoints,Primary insomnia (PI)
32807158,S_Acu,verum_acupuncture,Pittsburgh Sleep Quality Index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),14.7,2.99,8.79,43,False,1.9766,1.9411,paired_timepoints,Primary insomnia (PI)
33013312,arm_real,verum_acupuncture,Visual Analog Scale (VAS) abdominal pain severity,pain,Visual Analog Scale (VAS) 0-10,6.17,0.99,3.35,20,False,2.8485,2.7345,paired_timepoints,Primary dysmenorrhea (PDM)
33013312,arm_sham,sham_acupuncture,Visual Analog Scale (VAS) abdominal pain severity,pain,Visual Analog Scale (VAS) 0-10,5.87,1.18,5.39,15,False,0.4068,0.3846,paired_timepoints,Primary dysmenorrhea (PDM)
33146953,arm_FPI,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),13.22,3.66,2.22,18,False,3.0055,2.8709,paired_timepoints,Primary insomnia (PI)
33146953,arm_FPI,verum_acupuncture,Pittsburgh sleep quality index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),15.0,3.07,6.33,18,False,2.8241,2.6977,paired_timepoints,Primary insomnia (PI)
33146953,arm_MPI,verum_acupuncture,Athens Insomnia Scale (AIS) score,symptom_severity,Athens Insomnia Scale (AIS),12.17,1.53,2.5,12,False,6.3203,5.8793,paired_timepoints,Primary insomnia (PI)
33146953,arm_MPI,verum_acupuncture,Pittsburgh sleep quality index (PSQI) score,symptom_severity,Pittsburgh Sleep Quality Index (PSQI),14.33,1.56,7.58,12,False,4.3269,4.025,paired_timepoints,Primary insomnia (PI)
34720908,arm_IBSD,verum_acupuncture,Abdominal pain days,symptom_severity,IBS-SSS subscale,45.9,33.3,19.49,42,False,0.7931,0.7785,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,HAMA,mood,Hamilton Anxiety Scale (HAMA),17.69,8.76,10.88,42,False,0.7774,0.7631,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,IBS-SSS (total),symptom_severity,Irritable Bowel Syndrome Symptom Severity Score (IBS-SSS),250.26,88.84,121.95,42,False,1.4443,1.4177,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,Life influence degree,quality_of_life,IBS-SSS subscale,65.0,23.51,36.72,42,False,1.2029,1.1808,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,Satisfaction with bowel movements,symptom_severity,IBS-SSS subscale,67.95,20.38,37.41,42,False,1.4985,1.4709,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,The degree of abdominal distension,symptom_severity,IBS-SSS subscale,26.92,26.7,9.23,42,False,0.6625,0.6504,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
34720908,arm_IBSD,verum_acupuncture,The degree of abdominal pain,symptom_severity,IBS-SSS subscale,42.82,27.16,18.85,42,False,0.8825,0.8663,paired_timepoints,Diarrhea-Predominant Irritable Bowel Syndrome (IBS-D)
35048524,arm_cnsp,verum_acupuncture,HAM-A score,mood,Hamilton Anxiety Rating Scale (HAM-A),11.77,8.02,7.8,30,False,0.495,0.4821,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,HAM-D score,mood,Hamilton Depression Rating Scale (HAM-D),12.1,9.0,9.2,30,False,0.3222,0.3138,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,MMSE score,cognition,Mini-Mental State Examination (MMSE),28.0,1.78,28.37,30,True,0.2079,0.2024,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,MoCA score,cognition,Montreal Cognitive Assessment (MoCA),25.93,3.18,26.77,30,True,0.2642,0.2573,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,NDI score,function,Neck Disability Index (NDI),37.47,14.77,14.97,30,False,1.5234,1.4836,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,NPQ score,function,Northwick Park Neck Pain Questionnaire (NPQ),43.97,13.14,16.44,30,False,2.0951,2.0405,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,NRS score,pain,Numerical Rating Scale (NRS),6.07,1.36,1.73,30,False,3.1912,3.1079,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35048524,arm_cnsp,verum_acupuncture,PCS score,symptom_severity,Pain Catastrophizing Scale (PCS),16.47,13.17,9.57,30,False,0.5239,0.5103,paired_timepoints,Chronic neck and shoulder pain (CNSP)
35557556,arm_CSAP_all,other,Frequency of angina attacks,symptom_severity,Frequency of angina attacks for 2 weeks,5.48,4.17,4.45,29,False,0.247,0.2403,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_CSAP_all,other,McGill pain score,pain,McGill Pain Questionnaire,10.17,3.86,6.36,29,False,0.987,0.9604,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_CSAP_all,other,SAS score,mood,Zung Self-Rating Anxiety Scale (SAS),33.15,4.55,31.19,29,False,0.4308,0.4191,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_CSAP_all,other,SDS score,mood,Self-Rating Depression Scale (SDS),31.17,5.02,30.52,29,False,0.1295,0.126,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupA,verum_acupuncture,Frequency of angina attacks,symptom_severity,Frequency of angina attacks for 2 weeks,5.53,3.6,3.93,15,False,0.4444,0.4202,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupA,verum_acupuncture,McGill pain score,pain,McGill Pain Questionnaire,10.73,4.76,6.87,15,False,0.8109,0.7667,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupA,verum_acupuncture,SAS score,mood,Zung Self-Rating Anxiety Scale (SAS),33.58,3.83,31.29,15,False,0.5979,0.5653,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupA,verum_acupuncture,SDS score,mood,Self-Rating Depression Scale (SDS),31.93,5.02,30.5,15,False,0.2849,0.2693,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupB,active_control,Frequency of angina attacks,symptom_severity,Frequency of angina attacks for 2 weeks,5.43,4.85,5.0,14,False,0.0887,0.0834,paired_timepoints,Chronic stable angina pectoris (CSAP)
35557556,arm_groupB,active_control,McGill pain score,pain,McGill Pain Questionnaire,9.57,2.64,5.82,14,False,1.4205,1.3369,paired_timepoints,Chronic stable angina pectoris (CSAP)
