pmid,contrast_id,contrast_label,contrast_type,condition_1_type,condition_2_type,contrast_category,method_category,tissue_level,has_usable_coordinates,n_coordinates,direction,analysis_method,integrated_from
40974865,NR_03,BC-HF vs. BC-NF: notably reduced FC at baseline,between-group comparison at baseline,baseline,baseline,group_comparison,roi_fc,,False,0,notably reduced FC in BC-HF compared with BC-NF,ANOVA with post-hoc analysis (Bonferroni corrected),
40974865,NR_04,BC-HF post-treatment vs. baseline: increased FC between right temporal gyrus and angular area,within-group pre-post comparison after acupuncture,verum,baseline,verum_post_gt_pre,roi_fc,,False,0,increased FC after acupuncture,not_reported (statistical model details in supplementary materials),
40974865,NR_05,BC-HF post-treatment vs. baseline: increased FC between right temporal gyrus and MPFC,within-group pre-post comparison after acupuncture,verum,baseline,verum_post_gt_pre,roi_fc,,False,0,increased FC after acupuncture,not_reported (statistical model details in supplementary materials),
40974865,NR_06,"BC-HF post-treatment vs. baseline: increased FC between PCC and left RT, and PCC and MPFC",within-group pre-post comparison after acupuncture,verum,baseline,verum_post_gt_pre,roi_fc,,False,0,increased FC after acupuncture,not_reported,
40974865,NR_07,Correlation: increased FC (RT–RA) and HFCS reduction in positive-responders at post-treatment,correlation between FC change and clinical outcome change in positive-responder subgroup,verum,baseline,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (increased FC associated with reduction in HFCS),Spearman correlation (FDR-corrected),
40974865,NR_08,Correlation: increased FC (RT–RA) predicts stable improvement in HFCS at 4–6 months follow-up in positive-responders,correlation between FC change and clinical outcome change at follow-up in positive-responder subgroup,verum,baseline,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (increased FC associated with reduced HFCS at follow-up),Spearman correlation (FDR-corrected),
40974865,NR_09,Interaction effect: time × menopausal status (or endocrine therapy type) on FC within DMN,interaction effect in linear mixed-effects model,verum,baseline,group_comparison,roi_fc,,False,0,not significant; interaction effect did not reach statistical significance,linear mixed-effects model analysis,
40974865,NR_10,Main effect: menopausal status on FC between right temporal gyrus and angular area,main effect in linear mixed-effects model,verum,baseline,group_comparison,roi_fc,,False,0,significant main effect of menopausal status specifically for FC between right temporal gyrus and angular area,linear mixed-effects model analysis,
40974865,15876491_C1,Liv3 > Sham Liv3 (activation),activation,verum,sham,verum_gt_sham,whole_brain_activation,,True,14,activation,activation,extraction_results.json
40974865,15876491_C2,Liv3 > Sham Liv3 (deactivation),activation,verum,sham,deactivation,whole_brain_activation,,True,9,deactivation,activation,extraction_results.json
40974865,15876491_C3,LI4 > Sham LI4 (activation),activation,verum,sham,verum_gt_sham,whole_brain_activation,,True,3,activation,activation,extraction_results.json
40974865,15876491_C4,LI4 > Sham LI4 (deactivation),activation,verum,sham,deactivation,whole_brain_activation,,True,10,deactivation,activation,extraction_results.json
39468590,contrast_fALFF_acup_vs_control,Difference in whole brain fALFF using 2x2 repeated-measures ANOVA analysis of variance between acupuncture and control group,group x time interaction: acupuncture group > control group (post-pre change),verum,sham,group_comparison,whole_brain_activation,,True,2,acupuncture group > control group,2x2 repeated-measures ANOVA analysis of variance with intervention (control versus acupuncture) and time point (baseline versus follow-up),
39468590,contrast_ReHo_acup_vs_control,Difference in whole brain ReHo using 2x2 repeated-measures ANOVA analysis of variance between acupuncture and control group,group x time interaction: acupuncture group > control group (post-pre change),verum,sham,group_comparison,whole_brain_activation,,True,2,acupuncture group > control group,2x2 repeated-measures ANOVA analysis of variance with intervention (control versus acupuncture) and time point (baseline versus follow-up),
39468590,19427842_C1,Spontaneous activation - Right AI network during RS,other,rest,not_applicable,other,seed_based_fc,,True,9,activation,other,extraction_results.json
39468590,19427842_C2,Spontaneous deactivation - Right AI network during RS,other,rest,not_applicable,deactivation,seed_based_fc,,True,6,deactivation,other,extraction_results.json
39468590,19427842_C3,Increased spontaneous activation: PARS > RS (right AI network),other,verum,rest,verum_gt_rest,seed_based_fc,,True,16,increase,other,extraction_results.json
39468590,19427842_C4,Increased spontaneous deactivation: PARS > RS (right AI network),other,verum,rest,deactivation,seed_based_fc,,True,8,decrease,other,extraction_results.json
39468590,19427842_C5,Increased spontaneous activation: PSRS > RS (right AI network),other,sham,rest,sham_gt_rest,seed_based_fc,1.0,True,7,increase,other,extraction_results.json
39468590,19427842_C6,Increased spontaneous deactivation: PSRS > RS (right AI network),other,sham,rest,deactivation,seed_based_fc,,True,1,decrease,other,extraction_results.json
21080967,contrast_genuine_EA_fcMRI,Positive functional connectivity during genuine EA state,one sample t-test (random effects); PAG seed connectivity during genuine EA,verum,not_applicable,verum_gt_rest,seed_based_fc,,True,9,positive functional connectivity,functional connectivity fMRI (fcMRI); seed-based correlation; Fisher r-to-z transformation; random effects one sample t-test,
21080967,contrast_sham_EA_fcMRI,Positive functional connectivity during sham EA state,one sample t-test (random effects); PAG seed connectivity during sham EA,sham,not_applicable,sham_gt_rest,seed_based_fc,3.0,True,8,positive functional connectivity,functional connectivity fMRI (fcMRI); seed-based correlation; Fisher r-to-z transformation; random effects one sample t-test,
21080967,contrast_genuine_gt_sham,GEA > SEA (genuine EA greater than sham EA),two-sample t-test; main effect of acupuncture mode (genuine > sham); pooling expectancy groups,verum,sham,verum_gt_sham,seed_based_fc,3.0,True,1,genuine EA > sham EA,two-sample t-test comparing genuine EA (pooling the two expectancy groups) and sham EA (pooling the two expectancy groups); analysis equivalent to ANOVA main effect,
21080967,contrast_sham_gt_genuine,SEA > GEA (sham EA greater than genuine EA),two-sample t-test; main effect of acupuncture mode (sham > genuine); pooling expectancy groups,sham,verum,verum_gt_sham,seed_based_fc,3.0,True,1,sham EA > genuine EA,two-sample t-test comparing genuine EA (pooling the two expectancy groups) and sham EA (pooling the two expectancy groups); analysis equivalent to ANOVA main effect,
21080967,contrast_HE_gt_LE,HE > LE (high expectancy greater than low expectancy),two-sample t-test; main effect of expectancy (HE > LE); pooling acupuncture groups,verum,verum,correlation_expectancy,seed_based_fc,,False,0,high expectancy > low expectancy,two-sample t-test; main effect of expectancy (pooling acupuncture groups),
21080967,contrast_LE_gt_HE,LE > HE (low expectancy greater than high expectancy),two-sample t-test; main effect of expectancy (LE > HE); pooling acupuncture groups,verum,verum,correlation_expectancy,seed_based_fc,,False,0,low expectancy > high expectancy,two-sample t-test; main effect of expectancy (pooling acupuncture groups),
21080967,contrast_interaction,Interaction (treatment mode x expectancy level),two-sample t-test; interaction between treatment mode and expectancy level,verum,sham,group_comparison,seed_based_fc,3.0,True,1,interaction,two-sample t-test comparing cohorts receiving genuine EA with high expectancy + sham EA with low expectancy and cohorts receiving sham EA with high expectancy + genuine EA with low expectancy,
21080967,contrast_GH_gt_SH,GH > SH (genuine EA high expectancy > sham EA high expectancy),post-hoc two-sample t-test,verum,sham,verum_gt_sham,seed_based_fc,3.0,False,0,GH > SH,post-hoc two-sample t-test,
21080967,contrast_SH_gt_GH,SH > GH (sham EA high expectancy > genuine EA high expectancy),post-hoc two-sample t-test,sham,verum,verum_gt_sham,seed_based_fc,3.0,False,0,SH > GH,post-hoc two-sample t-test,
21080967,contrast_GH_gt_GL,GH > GL (genuine EA high expectancy > genuine EA low expectancy),post-hoc two-sample t-test,verum,verum,correlation_expectancy,seed_based_fc,,True,1,GH > GL,post-hoc two-sample t-test,
21080967,contrast_GL_gt_GH,GL > GH (genuine EA low expectancy > genuine EA high expectancy),post-hoc two-sample t-test,verum,verum,correlation_expectancy,seed_based_fc,,False,0,GL > GH,post-hoc two-sample t-test,
21080967,contrast_SH_gt_SL,SH > SL (sham EA high expectancy > sham EA low expectancy),post-hoc two-sample t-test,sham,sham,correlation_expectancy,seed_based_fc,3.0,False,0,SH > SL,post-hoc two-sample t-test,
21080967,contrast_SL_gt_SH,SL > SH (sham EA low expectancy > sham EA high expectancy),post-hoc two-sample t-test,sham,sham,correlation_expectancy,seed_based_fc,3.0,False,0,SL > SH,post-hoc two-sample t-test,
21080967,contrast_GL_gt_SL,GL > SL (genuine EA low expectancy > sham EA low expectancy),post-hoc two-sample t-test,verum,sham,verum_gt_sham,seed_based_fc,3.0,False,0,GL > SL,post-hoc two-sample t-test,
21080967,contrast_SL_gt_GL,SL > GL (sham EA low expectancy > genuine EA low expectancy),post-hoc two-sample t-test,sham,verum,verum_gt_sham,seed_based_fc,3.0,True,1,SL > GL,post-hoc two-sample t-test,
21080967,17240066_C1,Baseline GROUP x STIM interaction: [CTS(acup)-CTS(sham)] - [HC(acup)-HC(sham)] — positive (LHA activation),activation,verum,verum,group_comparison,whole_brain_activation,,True,1,activation,activation,extraction_results.json
21080967,17240066_C2,Baseline GROUP x STIM interaction: [CTS(acup)-CTS(sham)] - [HC(acup)-HC(sham)] — negative (deactivations in CTS),activation,verum,verum,deactivation,whole_brain_activation,,True,12,deactivation,activation,extraction_results.json
21080967,17240066_C3,Sham acupuncture: CTS > HC at baseline (CTS > HC for sham processing),activation,sham,sham,group_comparison,whole_brain_activation,,True,5,activation,activation,extraction_results.json
21080967,17240066_C4,Longitudinal CTS STIM x TIME interaction: [CTSbase(acup)-CTSbase(sham)] - [CTSpost(acup)-CTSpost(sham)] — positive (LHA activation),activation,verum,verum,group_comparison,whole_brain_activation,,True,1,activation,activation,extraction_results.json
21080967,17240066_C5,Longitudinal CTS STIM x TIME interaction: [CTSbase(acup)-CTSbase(sham)] - [CTSpost(acup)-CTSpost(sham)] — negative (deactivations),activation,verum,verum,deactivation,whole_brain_activation,,True,6,deactivation,activation,extraction_results.json
21080967,17240066_C6,HC test-retest STIM x TIME interaction: [HCbase(acup)-HCbase(sham)] - [HCpost(acup)-HCpost(sham)],activation,verum,verum,group_comparison,whole_brain_activation,,True,4,activation,activation,extraction_results.json
21080967,17240066_SR_C1,Sham EA state (positive functional connectivity with PAG seed),FC,sham,not_applicable,sham_gt_rest,seed_based_fc,3.0,True,8,activation,FC,sham_rest_extract
41591775,cpm_vas_neg,CPM negative network predicting VAS score reduction,predictive model — negative functional connectivity predicting VAS score change,baseline,not_applicable,correlation_clinical,multivariate,,False,0,negative connectivity predicts greater VAS score reduction,Connectome-based predictive modeling (CPM) with leave-one-out cross-validation; feature selection P < .01; 5000 permutation test,
41591775,cpm_hit6_pos,CPM positive network predicting HIT-6 score improvement,predictive model — positive functional connectivity predicting HIT-6 score change,baseline,not_applicable,correlation_clinical,multivariate,,False,0,positive connectivity predicts greater HIT-6 score improvement,Connectome-based predictive modeling (CPM) with leave-one-out cross-validation; feature selection P < .01; 5000 permutation test,
41591775,cpm_mmd_null,CPM for MMDs — no significant predictive performance,predictive model — null result for MMD prediction,baseline,not_applicable,correlation_clinical,multivariate,,False,0,not_reported,Connectome-based predictive modeling (CPM),
41591775,cpm_mhd_null,CPM for MHDs — no significant predictive performance,predictive model — null result for MHD prediction,baseline,not_applicable,correlation_clinical,multivariate,,False,0,not_reported,Connectome-based predictive modeling (CPM),
41591775,cpm_meduse_null,CPM for acute medication use days — no significant predictive performance,predictive model — null result,baseline,not_applicable,correlation_clinical,multivariate,,False,0,not_reported,Connectome-based predictive modeling (CPM),
41591775,cpm_msq_null,CPM for MSQ scores — no significant predictive performance,predictive model — null result for MSQ domains,baseline,not_applicable,correlation_clinical,multivariate,,False,0,not_reported,Connectome-based predictive modeling (CPM),
40963943,con_TTH_ALFF_decrease,ALFF: Acupuncture state < Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,5,decrease (acupuncture state < resting state),paired t-test,
40963943,con_TTH_ALFF_increase,ALFF: Acupuncture state > Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,True,2,increase (acupuncture state > resting state),paired t-test,
40963943,con_TTH_fALFF_decrease,fALFF: Acupuncture state < Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,3,decrease (acupuncture state < resting state),paired t-test,
40963943,con_TTH_fALFF_increase,fALFF: Acupuncture state > Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,True,1,increase (acupuncture state > resting state),paired t-test,
40963943,con_TTH_ReHo_decrease,ReHo: Acupuncture state < Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,6,decrease (acupuncture state < resting state),paired t-test,
40963943,con_TTH_ReHo_increase,ReHo: Acupuncture state > Resting state (TTH patients),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,True,5,increase (acupuncture state > resting state),paired t-test,
40963943,con_HC_ALFF_decrease,ALFF: Acupuncture state < Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,6,decrease (acupuncture state < resting state),paired t-test,
40963943,con_HC_ALFF_increase,ALFF: Acupuncture state > Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,True,1,increase (acupuncture state > resting state),paired t-test,
40963943,con_HC_fALFF_decrease,fALFF: Acupuncture state < Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,2,decrease (acupuncture state < resting state),paired t-test,
40963943,con_HC_fALFF_increase,fALFF: Acupuncture state > Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,False,0,increase (acupuncture state > resting state),paired t-test,
40963943,con_HC_ReHo_decrease,ReHo: Acupuncture state < Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,deactivation,whole_brain_activation,,True,5,decrease (acupuncture state < resting state),paired t-test,
40963943,con_HC_ReHo_increase,ReHo: Acupuncture state > Resting state (HCs),within-group paired comparison: acupuncture state vs. resting state,verum,rest,verum_gt_rest,whole_brain_activation,,True,4,increase (acupuncture state > resting state),paired t-test,
40963943,con_TTH_pain_ALFF_decrease,ALFF changes in TTH patients with acute pain sensation during instant acupuncture (decrease),within-subgroup paired comparison: acupuncture state vs. resting state in TTH patients with predominant acute pain,verum,rest,correlation_deqi,whole_brain_activation,,True,2,decrease,paired t-test,
40963943,con_TTH_pain_ReHo_decrease,ReHo changes in TTH patients with acute pain sensation during instant acupuncture (decrease),within-subgroup paired comparison: acupuncture state vs. resting state in TTH patients with predominant acute pain,verum,rest,correlation_deqi,whole_brain_activation,,True,3,decrease,paired t-test,
40963943,con_TTH_deqi_no_results,TTH patients with composite Deqi sensation: no results,within-subgroup paired comparison: acupuncture state vs. resting state in TTH patients with predominant Deqi,verum,rest,correlation_deqi,whole_brain_activation,,False,0,not_applicable,paired t-test,
40963943,con_HC_pain_ALFF_decrease,ALFF changes in HCs with acute pain sensation during instant acupuncture (decrease),within-subgroup paired comparison: acupuncture state vs. resting state in HCs with predominant acute pain,verum,rest,correlation_deqi,whole_brain_activation,,True,1,decrease,paired t-test,
40963943,con_HC_pain_ReHo_mixed,ReHo changes in HCs with acute pain sensation during instant acupuncture,within-subgroup paired comparison: acupuncture state vs. resting state in HCs with predominant acute pain,verum,rest,correlation_deqi,whole_brain_activation,,True,4,mixed (decrease and increase),paired t-test,
40963943,con_HC_deqi_ReHo_decrease,ReHo changes in HCs with composite Deqi sensation during instant acupuncture (decrease),within-subgroup paired comparison: acupuncture state vs. resting state in HCs with predominant Deqi,verum,rest,correlation_deqi,whole_brain_activation,,True,2,decrease,paired t-test,
40963943,con_HC_deqi_ALFF_no_results,ALFF changes in HCs with composite Deqi sensation: no results,within-subgroup paired comparison: acupuncture state vs. resting state in HCs with predominant Deqi,verum,rest,correlation_deqi,whole_brain_activation,,False,0,not_applicable,paired t-test,
41601526,con_ST36_FCNM,Brain activated network of ST36 in healthy controls (HCs),Seed-to-whole-brain functional connectivity network mapping (FCNM); voxel-wise one-sample t-test of individual FC maps,verum,rest,verum_gt_rest,seed_based_fc,,False,0,Positive functional connectivity only,Functional connectivity network mapping (FCNM): spherical seeds (4 mm radius) around ST36 activation coordinates merged into contrast seed; Pearson's correlation coefficients between seed and whole-brain voxels; Fisher's z-transformation; voxel-wise one-sample t-test across 573 participants; FDR-corrected thresholded t-maps binarized; composite network probability maps thresholded at 60%,
41601526,con_ST36_neuro,Spatial correlation between ST36 activation network and neurotransmitter/metabolism distribution,Cross-modal spatial correlation (Fisher's z-transformed Spearman correlation) between FCNM map and neurotransmitter density maps,verum,not_applicable,other,correlation_brain_behavior,,False,0,not_reported,"JuSpace toolbox (version 2.0, computing option 3); Neuromorphometrics Atlas comprising 119 regions; Fisher's z-transformed Spearman correlation coefficients between FCNM map and spatial distributions of receptor/transporter maps; gray matter probability map incorporated as covariate; statistical significance via one-sample t-tests against zero with exact P-values from 10,000 permutations; FDR correction at P < 0.05",
41601526,con_GB34_FCNM,Brain activated network of GB34 in healthy controls (HCs),Seed-to-whole-brain functional connectivity network mapping (FCNM); voxel-wise one-sample t-test of individual FC maps,verum,rest,verum_gt_rest,seed_based_fc,,False,0,Positive functional connectivity only,Functional connectivity network mapping (FCNM): spherical seeds (4 mm radius) around GB34 activation coordinates merged into contrast seed; Pearson's correlation coefficients between seed and whole-brain voxels; Fisher's z-transformation; voxel-wise one-sample t-test across 573 participants; FDR-corrected thresholded t-maps binarized; composite network probability maps thresholded at 60%,
41601526,con_GB34_neuro,Spatial correlation between GB34 activation network and neurotransmitter/metabolism distribution,Cross-modal spatial correlation (Fisher's z-transformed Spearman correlation) between FCNM map and neurotransmitter density maps,verum,not_applicable,other,correlation_brain_behavior,,False,0,not_reported,"JuSpace toolbox (version 2.0, computing option 3); Neuromorphometrics Atlas comprising 119 regions; Fisher's z-transformed Spearman correlation coefficients between FCNM map and spatial distributions of receptor/transporter maps; gray matter probability map incorporated as covariate; statistical significance via one-sample t-tests against zero with exact P-values from 10,000 permutations; FDR correction at P < 0.05",
41601526,con_validation_ST36_seed,Validation: FCNM with different seed sizes for ST36,Validation analysis: FCNM repeated with 1-mm and 7-mm radius spheres for ST36,verum,not_applicable,other,seed_based_fc,,False,0,not_reported,FCNM procedure repeated with 1- and 7-mm radius spheres; Dice coefficient computed,
41601526,con_validation_GB34_seed,Validation: FCNM with different seed sizes for GB34,Validation analysis: FCNM repeated with 1-mm and 7-mm radius spheres for GB34,verum,not_applicable,other,seed_based_fc,,False,0,not_reported,FCNM procedure repeated with 1- and 7-mm radius spheres; Dice coefficient computed,
41601526,con_validation_FCP_replication,Validation: FCNM replication in FCP dataset for ST36 and GB34,Cross-scanner replication: FCNM applied to FCP dataset; Dice coefficient computed between SLIM and FCP networks,rest,rest,other,seed_based_fc,,False,0,not_reported,Same FCNM procedure applied to FCP dataset; Dice coefficient computed,
41601526,19345268_C1,Verum Acupuncture (VA) main effect - brainstem activation,activation,verum,not_applicable,verum_gt_rest,whole_brain_activation,,False,3,activation,activation,extraction_results.json
41601526,19345268_C2,Verum Acupuncture (VA) main effect - brainstem deactivation,activation,verum,not_applicable,deactivation,whole_brain_activation,,False,9,deactivation,activation,extraction_results.json
41601526,19345268_C3,VA > SPA contrast - brainstem,activation,verum,sham,verum_gt_sham,whole_brain_activation,,False,4,activation,activation,extraction_results.json
41601526,19345268_C4,SPA > VA contrast - brainstem,activation,sham,verum,verum_gt_sham,whole_brain_activation,,False,1,activation,activation,extraction_results.json
41601526,19345268_C5,Verum Acupuncture (VA) linear time-variant (decreasing) response,activation,verum,not_applicable,deactivation,whole_brain_activation,,True,21,decrease,activation,extraction_results.json
41601526,19345268_C6,Sham Point Acupuncture (SPA) linear time-variant (decreasing) response,activation,sham,not_applicable,deactivation,whole_brain_activation,,True,5,decrease,activation,extraction_results.json
24915066,con_armA_postVSpre,active acupoint group: ReHo changes after treatment vs baseline,within-group pre-post comparison (post-treatment minus baseline),verum,baseline,verum_post_gt_pre,whole_brain_activation,,True,34,both increase and decrease reported separately,ReHo analysis using Kendall's coefficient of concordance; KCC maps standardized by whole-brain mean KCC; smoothed with Gaussian kernel FWHM 4 mm; independent-sample t-test with age as covariate,
24915066,con_armB_postVSpre,inactive acupoint group: ReHo changes after treatment vs baseline,within-group pre-post comparison (post-treatment minus baseline),sham,baseline,sham_post_gt_pre,whole_brain_activation,,True,3,both increase and decrease reported separately,ReHo analysis using Kendall's coefficient of concordance; KCC maps standardized by whole-brain mean KCC; smoothed with Gaussian kernel FWHM 4 mm; independent-sample t-test with age as covariate,
24915066,con_armA_vs_armB_direct,direct comparison of ReHo changes between the active and inactive group,between-group comparison (active acupoint group > and < inactive acupoint group),verum,sham,verum_gt_sham,whole_brain_activation,,False,7,both higher and lower ReHo in active vs inactive group reported,direct between-group comparison of ReHo changes (end of treatment minus baseline),
24915066,con_corr_armA_VAS_ACC,correlation between decrease in VAS score and increased average ReHo values in ACC (active acupoint group),correlation between clinical variable change and neural change,verum,not_applicable,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (decrease in VAS associated with increase in ReHo),correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,
24915066,con_corr_armA_VAS_Insula,correlation between decrease in VAS score and increased average ReHo values in insula (active acupoint group),correlation between clinical variable change and neural change,verum,not_applicable,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (decrease in VAS associated with increase in ReHo),correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,
24915066,con_corr_armB_VAS_ACC,correlation between decrease in VAS score and increased average ReHo values in ACC (inactive acupoint group),correlation between clinical variable change and neural change,sham,not_applicable,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (decrease in VAS associated with increase in ReHo),correlation analysis; mean subtraction (end of treatment - baseline) ReHo value in cluster correlated with changes in clinical variables; Bonferroni correction applied,
24915066,24911975_C1,Table 3: Active acupoint group - ReHo increases after treatment vs baseline,ReHo,verum,baseline,verum_post_gt_pre,whole_brain_activation,,True,19,increase,ReHo,peak_only_extract
24915066,24911975_C2,Table 3: Active acupoint group - ReHo decreases after treatment vs baseline,ReHo,verum,baseline,deactivation,whole_brain_activation,,True,14,decrease,ReHo,peak_only_extract
24915066,24911975_C3,Table 3: Inactive acupoint group - ReHo increases after treatment vs baseline,ReHo,sham,baseline,sham_post_gt_pre,whole_brain_activation,,True,2,increase,ReHo,peak_only_extract
24915066,24911975_C4,Table 3: Inactive acupoint group - ReHo decreases after treatment vs baseline,ReHo,sham,baseline,deactivation,whole_brain_activation,,True,1,decrease,ReHo,peak_only_extract
24915066,19159691_SR_C1,Inactive acupoint group: post-treatment vs. baseline (ReHo increase),ReHo,sham,baseline,sham_post_gt_pre,whole_brain_activation,,True,3,activation,ReHo,sham_rest_extract
24915066,19159691_SR_C2,Inactive acupoint group: post-treatment vs. baseline (ReHo decrease),ReHo,sham,baseline,deactivation,whole_brain_activation,,True,1,deactivation,ReHo,sham_rest_extract
30719061,con_KI3_post_vs_pre,Changes of brain regions in KI3 group of posttreatment versus pretreatment,within-group pre vs post acupuncture,verum,baseline,verum_post_gt_pre,whole_brain_activation,,True,1,decreased ReHo,ReHo analysis; paired t-test,
30719061,con_LR3KI3_post_vs_pre_increased,Changes of brain regions in LR3+KI3 group of posttreatment versus pretreatment (increased ReHo),within-group pre vs post acupuncture,verum,baseline,verum_post_gt_pre,whole_brain_activation,,True,3,increased ReHo,ReHo analysis; paired t-test,
30719061,con_LR3KI3_post_vs_pre_decreased,Changes of brain regions in LR3+KI3 group of posttreatment versus pretreatment (decreased ReHo),within-group pre vs post acupuncture,verum,baseline,deactivation,whole_brain_activation,,True,1,decreased ReHo,ReHo analysis; paired t-test,
